QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2017,BDS.2021,PIECE.2017,PIECE.2021,INTEG.2017,INTEG.2021,DECAYCLASS.2017,DECAYCLASSORIG,DECAYCLASS.2021,GC.2017,GC.2021,HEIGHT.2017,HEIGHT.2021,TOPDIAM.2017,TOPDIAM.2021,DBH,DBH.2017,DBH.2021,LENGTH.2017,LENGTH.2021,ANGLE,DIRECTION,NOTES.2017,NOTES.2021,,,,,LG.END.DIAM,SM.END.DIAM,LG.PX,LG.PY,SM.PX,SM.PY,CORRXTREE,CORRYTREE,UTMX_TREES,UTMY_TREES
361,30624,30624,LIST2,3.9,2.2,Log,Log,B,B,NA,,2,1,4,G,,NA,,21.3,,NA,NA,,14,,,,NA,,,,,,21.3,15.1,NA,NA,NA,NA,53.9,202.2,438075.093,135796.697
361,30624,30624,LIST2,3.9,2.2,Snag,Log,A,A,F,,2,1,3,NA,,6,,21.3,,32.3,30.9,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,53.9,202.2,438075.093,135796.697
348,30944,30944,FAGR,7.9,8.1,Snag,Log,A,A,F,,3,2,3,NA,,8,,NA,,13.3,11.9,,NA,,,,SP=LITU,,,,,,NA,NA,NA,NA,NA,NA,37.9,278.1,438059.093,135872.597
393,31065,31066,CAGL8,8.8,6.7,Snag,Snag,A,,C,,1,1,2,NA,,8,4,NA,,10.5,11.3,9.5,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,88.8,226.7,438109.993,135821.197
394,31089,31089,LIST2,0.7,9.2,Log,Log,B,B,F,,1,1,4,G,,NA,,NA,,16.7,NA,,12.5,,,,NA,,,,,,15.9,7,NA,NA,NA,NA,80.7,239.2,438101.893,135833.697
394,31089,31089,LIST2,0.7,9.2,Snag,Snag,A,A,F,,1,1,3,NA,,3,1.9,15.9,,16.7,16.5,15.3,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,80.7,239.2,438101.893,135833.697
377,31122,31122,CATO6,0,1.5,Log,Log,A,A,NA,,NA,NA,1,NA,,NA,,NA,,46.6,NA,46,NA,0.88,,,"cut down, hazard tree",,,,,,NA,NA,NA,NA,NA,NA,60,261.5,438081.193,135855.997
378,31143,31143,CACA18,1.8,4.6,Log,,A,,F,,4,2,,G,,NA,,NA,,13.6,NA,,3,,,,NA,Not found,,,,,12,9.8,NA,NA,NA,NA,61.8,274.6,438082.993,135869.097
389,31335,31335,CATO6,0.5,6.9,Snag,Log,A,A,F,,2,1,4,NA,,4,,11.7,,16.9,16.5,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,70.5,286.9,438091.693,135881.397
389,31335,31335,CATO6,0.5,6.9,Log,,B,,F,,3,2,,G,,NA,,NA,,16.9,NA,,7.5,,,,NA,Not found,,,,,11.7,6.7,NA,NA,NA,NA,70.5,286.9,438091.693,135881.397
389,31340,31340,CATO6,2.3,9.4,Log,Log,A,A,F,,4,2,3,G,,NA,,NA,,18.1,NA,,8,,,,NA,,,,,,16.8,12.7,NA,NA,NA,NA,72.3,289.4,438093.493,135883.897
395,31504,31504,COFL2,5.6,6.4,Snag,Log,A,A,C,,1,1,2,NA,,7,,NA,,10.3,10.2,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,85.6,246.4,438106.793,135840.897
413,40044,40044,FAGR,9.5,4.5,Log,Log,B,B,F,F,2,1,3,G,G,NA,,NA,47,NA,NA,52.5,NA,1.3,,North,NA,West outside of plot b-d,,,,,54.3,53,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
413,40044,40044,FAGR,9.5,4.5,Log,Log,C,C,F,F,2,1,3,G,G,NA,,NA,46.7,NA,NA,47,NA,2.01,,North,NA,,,,,,54.3,52.4,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
413,40044,40044,FAGR,9.5,4.5,Log,Log,D,D,F,F,2,1,4,G,G,NA,,NA,52.4,NA,NA,54.2,NA,2.1,,North,NA,,,,,,51.9,51.1,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
413,40044,40044,FAGR,9.5,4.5,Snag,Log,A,A,F,F,2,1,3,NA,G,NA,NA,54.4,53.3,60.2,57.2,55.6,NA,4.3,,West,cut,cut,,,,,NA,NA,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,Log,Log,E,E,F,F,2,1,4,G,G,NA,,NA,32.5,NA,NA,38.7,NA,1,,,NA,"Pile of cut pieces, some undiscernable",,,,,45.9,42.3,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,Log,Log,F,F,F,F,2,1,4,G,G,NA,,NA,28.8,NA,NA,35,NA,1,,,NA,"Pile of cut pieces, some undiscernable",,,,,44.5,36.9,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,Log,Log,G,G,F,F,2,1,3,G,G,NA,,NA,23,NA,NA,24.5,NA,1.6,,,NA,"Pile of cut pieces, some undiscernable",,,,,40.8,40.5,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,Log,Log,H,H,F,F,2,1,3,G,G,NA,,NA,26.2,NA,NA,28.1,NA,1.1,,,NA,"Pile of cut pieces, some undiscernable",,,,,40.5,39.5,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,Log,Log,I,I,F,F,2,1,3,G,G,NA,,NA,34.6,NA,NA,35.9,NA,1.25,,,NA,"Pile of cut pieces, some undiscernable",,,,,36.1,35.4,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,Log,Log,J,J,F,F,2,1,3,G,G,NA,,NA,24.2,NA,NA,25.3,NA,1.3,,,NA,"Pile of cut pieces, some undiscernable",,,,,35.8,30,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,Log,Log,K,K,F,F,2,1,3,G,G,NA,,NA,25.8,NA,NA,35.7,NA,1.9,,,NA,"Pile of cut pieces, some undiscernable",,,,,27.2,26.2,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,Log,Log,L,L,F,F,2,1,,G,G,NA,,NA,,NA,NA,,NA,,,,NA,"Pile of cut pieces, some undiscernable",,,,,26.1,23.7,NA,NA,NA,NA,9.5,324.5,438030.693,135918.997
416,40093,40093,FAGR,8.5,6.5,Snag,Log,A,,F,,3,2,4,NA,,9.4,,28.7,33.8,44.2,43.6,40.2,NA,9.4,NE,,NA,,,,,,NA,NA,NA,NA,NA,NA,8.5,356.5,438029.693,135950.997
426,40093,40093,FAGR,8.5,6.5,Log,,B,,F,,3,2,,G,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,28.7,27.2,NA,NA,NA,NA,8.5,356.5,438029.693,135950.997
425,40180,40180,QUFA,8.9,3.7,Snag,Snag,A,,C,,2,1,3,NA,,18.4,17,NA,,47.4,46.3,46.8,NA,,,,NA,"Check DC - it’s like a 4, but a snag still standing",,,,,NA,NA,NA,NA,NA,NA,18.9,343.7,438040.093,135938.197
421,40203,40203,CATO6,0,3.1,Log,Log,C,C,F,,2,1,4,G,G,NA,,NA,34.5,NA,NA,37.1,2.5,1.5,,N,NA,2017 length overestimated ,,,,,42.5,40.5,19.2,306.3,21,307.9,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,Log,Log,A,A,F,,2,1,4,A,G,NA,,NA,44.2,NA,NA,44.6,1.3,1.2,,,NA,,,,,,46.7,49.8,19.9,303,NA,NA,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,Log,Log,B,B,F,,2,1,4,G,G,NA,,NA,36,NA,NA,36,2.3,1,,,NA,2017 length overestimated ,,,,,49.8,40.7,20.5,304.9,22.8,304.9,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,Log,Log,D,D,F,,2,1,4,G,G,NA,,NA,36,NA,NA,36,2,1,,,NA,2017 length overestimated ,,,,,40.2,38.8,23.4,298.6,22.8,300.7,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,Log,Log,E,E,F,,2,1,3,G,G,NA,,NA,11.5,NA,NA,19.5,2,3.4,,,NA,Everything in this tag number are cut pieces in a pile and or scattered. A piece was added because fragments were defined differently ,,,,,39,38.5,26.5,301.3,27.8,299.7,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,Log,Log,F,F,F,,2,1,3,G,G,NA,,NA,18.8,NA,NA,21.8,2,7,,,NA,Everything in this tag number are cut pieces in a pile and or scattered. A piece was added because fragments were defined differently ,,,,,38.5,38.3,26.3,302.3,27.4,300.7,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,Log,Log,G,G,F,,2,1,3,G,G,NA,,NA,9.4,NA,NA,14,1.5,3.3,,,NA,Everything in this tag number are cut pieces in a pile and or scattered. A piece was added because fragments were defined differently ,,,,,38.4,37,29.8,304.8,30,306,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,Log,Log,H,H,F,,2,1,3,G,G,NA,,NA,29.1,NA,NA,30.2,10.4,10.4,,,NA,Everything in this tag number are cut pieces in a pile and or scattered. A piece was added because fragments were defined differently ,,,,,38.6,32.2,28.9,301.5,34.7,311.1,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,Log,Log,I,I,F,,,,4,G,G,,,,31.4,,,31.5,,1.2,,,,Everything in this tag number are cut pieces in a pile and or scattered. A piece was added because fragments were defined differently ,,,,,,,,,,,,,,
428,40391,40391,ACRU,,,,Log,,B,,,,,3,,G,,,,9.1,,,9.8,1.5,,,SE,,,,,,,,,,,,,,,,
428,40391,40391,ACRU,0.8,4.5,Snag,Snag,A,A,C,,1,1,2,NA,,10.6,6,NA,,16.8,17.1,16.7,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,10.8,374.5,438031.993,135968.997
416,40501,40501,LITU,1.3,1.7,Log,,D,,NA,,5,3,,NA,,NA,,NA,,NA,NA,,NA,,,,"not found, 5",,,,,,NA,NA,1.9,357,NA,NA,NA,NA,NA,NA
416,40501,40501,LITU,1.3,1.7,Log,,E,,NA,,5,3,,NA,,NA,,NA,,NA,NA,,NA,,,,"not found, 5",,,,,,NA,NA,1.5,359.7,NA,NA,NA,NA,NA,NA
417,40501,40511,LITU,4.6,4.4,Log,,A,,F,,4,2,4,G,,NA,,NA,21.8,NA,NA,28.7,15.2,12,,SE,NA,,,,,,34.1,23,4.6,364.4,15.4,352.7,NA,NA,NA,NA
426,40511,40511,LITU,4.6,4.4,Log,,B,,F,,4,2,,G,,NA,,NA,,NA,NA,,1.8,,,,NA,,,,,,23.5,23.7,NA,NA,19.3,349.9,NA,NA,NA,NA
426,40511,40511,LITU,4.6,4.4,Log,,C,,F,,4,2,,G,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,19.7,17.4,NA,NA,NA,NA,NA,NA,NA,NA
429,40626,40626,PIVI2,3.6,9,Snag,Log,A,A,F,F,3,2,4,NA,G,2,,20,20.7,20,19.5,15.6,NA,2,,N,NA,,,,,,NA,NA,NA,NA,NA,NA,13.6,389,438034.793,135983.497
4210,40626,40626,PIVI2,3.6,9,Log,Log,B,B,F,C,4,2,3,G,G,NA,,NA,5.4,NA,NA,17.2,19,16.1,,NE,NA,Quad 429 - mislisted ,,,,,20,9.5,NA,NA,NA,NA,13.6,389,438034.793,135983.497
4210,40633,40633,PIVI2,1.3,1.6,Log,C,B,B,F,F,3,2,3,G,G,NA,,NA,5,NA,NA,14.3,NA,14.7,,NW,NA,,,,,,18.6,9.3,NA,NA,NA,NA,11.3,391.6,438032.493,135986.097
4210,40633,40633,PIVI2,1.3,1.6,Snag,F,A,A,F,F,3,2,4,NA,,3.4,3,18.6,,22.7,21.8,18,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,11.3,391.6,438032.493,135986.097
4110,40722,40722,PIVI2,1.1,9.9,Log,Log,A,A,C,C,3,2,3,A,A,NA,,NA,5.8,20.5,NA,19.3,NA,15.5,,SE,NA,,,,,,31.9,4.8,NA,NA,NA,NA,1.1,399.9,438022.293,135994.397
443,40772,40772,FAGR,6.8,9.8,Snag,Snag,A,A,F,,4,2,4,NA,,11.3,10,NA,,66.1,64.8,66.3,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,36.8,329.8,438057.993,135924.297
4310,40808,40808,COFL2,3.2,3.6,Log,,B,,F,,2,1,,G,,NA,,NA,,NA,NA,,NA,,,,NA,"VERY SMALL, broken off from snag that transitioned to log",,,,,12.7,8.6,NA,NA,NA,NA,23.2,393.6,438044.393,135988.097
4310,40808,40808,COFL2,3.2,3.6,Log,,C,,F,,2,1,,G,,NA,,NA,,NA,NA,,NA,,,,NA,"VERY SMALL, broken off from snag that transitioned to log",,,,,6.9,6.1,NA,NA,NA,NA,23.2,393.6,438044.393,135988.097
4310,40808,40808,COFL2,3.2,3.6,Snag,Log,A,A,C,,2,1,3,NA,G,NA,,8.6,6.2,11.3,11.5,10.2,NA,6.8,,NW,NA,,,,,,NA,NA,NA,NA,NA,NA,23.2,393.6,438044.393,135988.097
462,40852,40852,CARYA,9.5,4,Log,,A,,C,,2,1,,G,,NA,,NA,,NA,NA,,NA,,,,NA,Not found,,,,,42.5,30,2.5,4,NA,NA,NA,NA,NA,NA
461,40857,40857,FAGR,1.9,9.9,Log,Log,B,B,C,,3,2,4,G,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,22.6,10.7,NA,NA,NA,NA,51.9,309.9,438073.093,135904.397
461,40857,40857,FAGR,1.9,9.9,Snag,Log,A,A,F,,2,1,4,NA,,3.6,,22.6,,19.6,20.6,12.3,NA,2.8,,,NA,,,,,,NA,NA,NA,NA,NA,NA,51.9,309.9,438073.093,135904.397
462,40858,40858,CATO6,4.3,1.3,Log,Log,B,B,C,,2,1,3,G,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,21.3,15.6,NA,NA,NA,NA,54.3,311.3,438075.493,135905.797
462,40858,40858,CATO6,4.3,1.3,Snag,Snag,A,A,F,,3,2,3,NA,,2.6,2.2,21.8,,24.1,19.2,18,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,54.3,311.3,438075.493,135905.797
462,40862,40862,CATO6,3.4,5.6,Log,Log,A,A,NA,,2,1,4,NA,,NA,,NA,,34.6,34.8,31.8,NA,,,S,NA,,,,,,NA,NA,NA,NA,NA,NA,53.4,315.6,NA,NA
463,40866,40866,FAGR,5.4,5.1,Log,Log,B,B,F,,2,1,3,G,,NA,,NA,,53.8,NA,,NA,,,,NA,,,,,,38.4,42,NA,NA,NA,NA,55.4,325.1,438076.593,135919.597
463,40866,40866,FAGR,5.4,5.1,Snag,Snag,A,A,F,,2,1,5,NA,,2.3,,38.4,,53.8,51.6,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,55.4,325.1,438076.593,135919.597
456,40962,40962,COFL2,7.7,1.9,Log,Log,B,,NA,,3,2,5,NA,,NA,,NA,,NA,NA,6.1,NA,,,,NA,,,,,,9.2,4.9,NA,NA,NA,NA,NA,NA,NA,NA
456,40970,40970,LITU,3.2,7.7,Snag,Snag,A,A,C,,1,1,2,NA,,16.6,15.5,NA,,33.1,32,30.1,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,43.2,357.7,438064.393,135952.197
458,40997,40997,UNKN,8.8,0.3,Log,Log,B,B,C,,4,2,4,NA,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,21.3,16,NA,NA,NA,NA,48.8,370.3,438069.993,135964.797
458,40997,40997,UNKN,8.8,0.3,Snag,Log,A,A,F,,4,2,5,NA,,NA,,16,,17.3,16.9,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,48.8,370.3,438069.993,135964.797
473,41017,41017,CATO6,7.6,4,Log,Log,A,A,F,,4,2,5,G,,NA,,NA,,28.2,NA,,NA,,,,NA,,,,,,39.1,25.8,NA,NA,NA,NA,67.6,324,438088.793,135918.497
483,41017,41017,CATO6,7.6,4,Log,,B,,F,,4,2,,G,,NA,,NA,,NA,NA,,NA,,,,NA,Not found ,,,,,26.8,22.8,NA,NA,NA,NA,67.6,324,438088.793,135918.497
483,41017,41017,CATO6,7.6,4,Log,,C,,F,,3,2,,G,,NA,,NA,,NA,NA,,NA,,,,NA,Not found ,,,,,22.3,12.6,NA,NA,NA,NA,67.6,324,438088.793,135918.497
476,41067,41067,CATO6,2.8,9.2,Log,Log,A,A,NA,,4,2,4,G,,NA,,NA,,NA,NA,,12.5,,,,NA,,,,,,22.2,17.5,62.9,359.2,NA,NA,NA,NA,NA,NA
477,41075,41075,FAGR,7.3,7,Log,Log,A,A,NA,,5,3,5,G,,NA,,NA,,NA,NA,,11.8,,,,not measurable,,,,,,32.2,15.2,67.3,366.6,59.1,357.9,NA,NA,NA,NA
477,41077,41077,UNKN,6.7,10,Log,Log,A,A,NA,,4,2,4,G,,NA,,NA,,NA,NA,,5.4,,,,NA,,,,,,27.8,25.5,66.7,369.9,64.1,375.1,NA,NA,NA,NA
465,41106,41106,UNKN,8,7.9,Snag,Snag,A,,F,,4,2,5,NA,,2.3,,NA,,22.1,21.8,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,58,347.9,438079.193,135942.397
468,41133,41133,QUAL,6.4,2.4,Snag,Snag,A,A,C,,1,1,2,NA,,5,5,NA,,69.6,69.6,69.5,NA,,,,Q last week of August,,,,,,NA,NA,NA,NA,NA,NA,56.4,372.4,438077.593,135966.897
468,41133,41133,QUAL,6.4,2.4,Log,Log,,B,,,,,2,,,,,,,,,52.4,,,,,,,,,,,,,,,,,,,,
468,41135,41135,LITU,2.7,4,Snag,Log,A,A,NA,,NA,NA,4,NA,,NA,,NA,,45.6,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,52.7,374,438073.893,135968.497
468,41143,41143,FAGR,3.1,8.2,Log,,B,,NA,,4,2,,G,,NA,,NA,,15,NA,,NA,,,,NA,Alive,,,,,22.8,22.4,NA,NA,NA,NA,53.1,378.2,438074.293,135972.697
468,41143,41143,FAGR,3.1,8.2,Snag,,A,,NA,,3,2,,NA,,5,,22.8,,15,NA,,NA,,,,NA,Alive,,,,,NA,NA,NA,NA,NA,NA,53.1,378.2,438074.293,135972.697
448,41230,41230,CACA18,3,5,Log,,A,,NA,,2,1,,NA,,NA,,NA,,NA,NA,,5.5,,,,NA,Not found ,,,,,12.2,6.7,33.1,375.1,34.1,369.1,NA,NA,NA,NA
4410,41292,41292,COFL2,0.5,2.8,Snag,,A,A,C,,1,1,3,NA,,7,4.5,NA,,10.6,10.3,9.8,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,30.5,392.8,438051.693,135987.297
458,41308,41308,ACRU,8.5,7.1,Log,Log,B,B,F,,2,1,4,NA,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,17.2,14.3,NA,NA,NA,NA,48.5,377.1,438069.693,135971.597
458,41308,41308,ACRU,8.5,7.1,Log,,C,,F,,2,1,,NA,,NA,,NA,,NA,NA,,NA,,,,NA,Not found,,,,,14.2,13.9,NA,NA,NA,NA,48.5,377.1,438069.693,135971.597
458,41308,41308,ACRU,8.5,7.1,Snag,Snag,A,A,F,,1,1,3,NA,,5.2,5,17.2,,21,20.7,20.2,NA,,,,Q,,,,,,NA,NA,NA,NA,NA,NA,48.5,377.1,438069.693,135971.597
4710,41459,41459,LITU,9.7,6.6,Snag,Log,A,A,NA,,NA,NA,5,NA,,NA,,NA,,22.5,NA,,NA,,,,"DC, xy switched",,,,,,NA,NA,NA,NA,NA,NA,69.7,396.6,438090.893,135991.097
4101,41481,41481,QURU,1.5,0.5,Snag,Snag,A,A,NA,,2,1,3,NA,,19.4,13.7,NA,,60.5,60.6,59.5,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,91.5,300.5,438112.693,135894.997
4101,41481,41481,QURU,1.5,0.5,,Log,,B,,,,,2,,,,,,42.3,,,39.9,,4.1,,,,,,,,,,,,,,,,,,
4101,41481,41481,QURU,1.5,0.5,,Log,,C,,,,,2,,,,,,29.6,,,37.7,,7.7,,,,,,,,,,,,,,,,,,
4102,41490,41490,UNKN,3.7,4.9,Log,Log,A,A,NA,,4,2,5,G,,NA,,NA,,NA,NA,,10.9,,,,NA,,,,,,47.1,41.9,94,314.8,87.8,305.1,NA,NA,NA,NA
4103,41500,41500,UNKN,2.9,7.2,Log,Log,A,A,NA,,3,2,5,G,,NA,,NA,,NA,NA,,4.1,,,,NA,,,,,,6.8,5.2,92.9,327.4,91.4,323.3,NA,NA,NA,NA
492,41548,41548,CACA18,7.4,8.8,Log,Log,A,A,NA,,5,3,5,G,,NA,,NA,,NA,NA,,6.9,,,,NA,,,,,,19.2,17.3,87.5,319.1,91.6,313,NA,NA,NA,NA
482,41629,41629,CAGL8,1,3.7,Snag,Log,A,A,NA,,2,1,2,NA,,NA,,15.5,,21.6,21.5,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,71,313.7,438092.193,135908.197
482,41634,41634,CATO6,1.8,7.8,Log,Log,A,,A,,3,2,5,G,,NA,,NA,,25.3,NA,,NA,,,,NA,,,,,,23.4,16.9,NA,NA,NA,NA,71.8,317.8,438092.993,135912.297
484,41657,41657,CARYA,5.8,4,Log,Log,A,A,F,,3,2,5,G,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,56.4,42.9,NA,NA,NA,NA,75.8,334,438096.993,135928.497
484,41657,41657,CARYA,5.8,4,Log,Log,B,B,F,,3,2,5,G,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,40.8,19.3,NA,NA,NA,NA,75.8,334,438096.993,135928.497
4105,41732,41732,QUAL,1.1,1.6,Snag,Log,A,A,C,,2,1,3,NA,,15,,NA,,21.7,21.5,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,91.1,341.6,438112.293,135936.097
4106,41756,41756,QUAL,1.8,3.2,Snag,Snag,A,A,C,,1,1,2,NA,,NA,11.8,NA,,24.2,24.2,24,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,91.8,353.2,438112.993,135947.697
4910,41871,41871,ACRU,1.4,2,Log,Log,A,A,C,,4,2,5,G,,NA,,NA,,23.9,NA,,NA,,,,DC,,,,,,26.6,17.5,NA,NA,NA,NA,81.4,392,438102.593,135986.497
469,41901,41901,QUAL,2.2,2,Log,,B,,F,,3,2,,G,,NA,,NA,,35.7,NA,,NA,,,,DC,Cut and moved due to road,,,,,14,11.8,NA,NA,NA,NA,72.2,372,438093.393,135966.497
488,41901,41901,QUAL,2.2,2,Log,Log,A,A,F,,2,1,4,G,,NA,,NA,,35.7,NA,,NA,,,,DC,,,,,,42.1,19.3,NA,NA,NA,NA,72.2,372,438093.393,135966.497
487,41906,41906,CAGL8,7.4,1.1,Log,Log,A,A,NA,,2,1,3,NA,,NA,,NA,,NA,NA,,19.5,,,,not found,Should be in quad 488,,,,,35.2,22.3,77.5,371,60.2,380.6,NA,NA,NA,NA
488,41922,41922,LIST2,5.6,2.4,Log,,C,,F,,2,1,,G,,NA,,NA,,NA,NA,,NA,,,,NA,Not found,,,,,13.5,9,NA,NA,NA,NA,75.6,382.4,438096.793,135976.897
489,41922,41922,LIST2,5.6,2.4,Log,Log,B,B,F,,2,1,5,G,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,17.6,11.8,NA,NA,NA,NA,75.6,382.4,438096.793,135976.897
489,41922,41922,LIST2,5.6,2.4,Snag,Log,A,A,C,,2,1,3,NA,,2.3,,17.6,,15.1,14.7,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,75.6,382.4,438096.793,135976.897
4810,41934,41934,CAGL8,6.4,1,Log,Log,A,A,C,,4,2,5,G,,NA,,NA,,49.1,NA,,NA,,,,DC,,,,,,38.8,29.2,NA,NA,NA,NA,76.4,391,438097.593,135985.497
4810,41952,41952,ACRU,1.8,10,Log,Log,B,B,C,,4,2,3,G,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,11.2,8.3,NA,NA,NA,NA,71.8,400,438092.993,135994.497
4810,41952,41952,ACRU,1.8,10,Snag,Log,A,A,F,,2,1,4,NA,,4,,11.2,,12.1,12.1,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,71.8,400,438092.993,135994.497
1243,42439,42439,FAGR,0.3,0.2,NF,Log,NA,,NA,,NA,NA,4,NA,,NA,,NA,,15.1,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,230.3,320.2,438251.493,135914.697
12210,42528,42528,CATO6,3.1,2.6,Log,Log,A,A,NA,,2,1,4,NA,,NA,,NA,,28.1,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,213.1,392.6,438234.293,135987.097
1254,42659,42658,CACA18,4.1,6.2,Snag,,A,A,C,,1,1,3,NA,,6,,NA,,10.8,10.8,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,244.1,336.2,438265.293,135930.697
