QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY
989,90842,90842,FRPE,1.4,3.1,44.7,,,,,,,,,,,,1.3,DS,271.39999,83.1
993,90140,90140,PRSE2,4.9,6.5,24.2,,,,,,,,,,,,1.3,DS;MT,284.89999,26.5
1021,100104,100104,FRAM2,7.2,1.6,53.1,,,,,,,,,,,,1.3,DS,217.2,101.6
1021,100111,100111,LIST2,4.5,8.5,19.6,,,,,,,,,,,,1.3,DS,214.5,108.5
1031,100201,100201,FRAM2,2.8,4.2,43.4,,,,,,,,,,,,1.3,DS,222.8,104.2
1041,100432,100432,FRPE,5.7,2,55.9,,,,,,,,,,,,1.3,DS,235.7,102
1042,100453,100453,FRPE,6.8,1,58.2,,,,,,,,,,,,1.3,DS,236.8,111
1042,100462,100462,FRPE,1,1.7,44.3,,,,,,,,,,,,1.3,DS;L,231,111.7
1044,100500,100500,QUFA,5.3,5.3,59.8,,,,,,,,,,,,1.3,DS;MT,235.3,135.3
1046,100819,100819,LITU,2.3,3.2,50.5,,,,,,,,,,,,1.3,DS;Q;RS;CWD,232.3,153.2
1049,100856,100856,COFL2,0.1,3.8,10.9,,,,,,,,,,,,1.3,DS,230.10001,183.8
1052,100562,100562,FRPE,4.2,1,54.9,,,,,,,,,,,,1.3,DS;X,244.2,111
1056,100750,100750,CACA18,9.8,2.8,19.5,,,,,,,,,,,,1.3,DC,249.8,152.8
1061,100396,100396,FRAM2,4.6,2.3,58,,,,,,,,,,,,1.3,DS;L,254.60001,102.3
1062,100619,100619,FRAM2,4.6,4.5,34.4,,,,,,,,,,,,1.3,DS;X,254.60001,114.5
1071,100905,100905,FRAM2,9.3,2.8,54.2,,,,,,,,,,,,1.3,DS,269.29999,102.8
1071,100915,100915,FRPE,1,1.2,65.4,,,,,,,,,,,,1.3,DS,261,101.2
1072,100946,100946,FRPE,2.3,4.2,49.4,,,,,,,,,,,,1.3,DS,262.29999,114.2
1073,100987,100988,ACRU,2.6,4.2,15.9,,,,,,,,,,,,1.3,DS,262.60001,124.2
1073,100989,100989,FRPE,2.3,3.5,61.4,,,,,,,,,,,,1.3,DS,262.29999,123.5
1073,101212,101212,FRPE,5.6,6.9,41.7,,,,,,,,,,,,1.3,DS,265.60001,126.9
1074,101229,101229,FRPE,9.4,1.3,59.3,,,,,,,,,,,,1.3,DS,269.39999,131.3
1075,101295,101295,FRPE,4.3,5.8,62,,,,,,,,,,,,1.3,DS,264.29999,145.8
1081,100871,100871,FRPE,6.3,0.7,32.9,,,,,,,,,,,,1.3,DS,276.29999,100.7
1081,100871,100872,FRPE,6.3,1,31.3,,,,,,,,,,,,1.3,DS,276.29999,101
1081,100893,100893,FRPE,7.1,8.8,48.9,,,,,,,,,,,,1.3,DS,277.10001,108.8
1082,101127,101127,FRPE,3.2,9.4,69.7,,,,,,,,,,,,1.3,DS,273.20001,119.4
1083,101139,101139,FRPE,8.2,3.5,35.9,,,,,,,,,,,,1.3,DS,278.20001,123.5
1083,101144,101144,FRPE,8.2,5.3,70,,,,,,,,,,,,1.3,DS,278.20001,125.3
1091,101068,101068,FRPE,2.1,2,41.1,,,,,,,,,,,,1.3,DS,282.10001,102
1092,101081,101081,FRPE,2.2,1.7,16.4,,,,,,,,,,,,1.3,DS,282.20001,111.7
1092,101092,101092,FRPE,8.1,4.4,43.8,,,,,,,,,,,,1.3,DS,288.10001,114.4
1092,101310,101310,FRPE,7.9,7.9,24.5,,,,,,,,,,,,1.3,DS,287.89999,117.9
1095,101624,101624,FRPE,0.5,6.1,49.7,,,,,,,,,,,,1.3,DS,280.5,146.10001
1095,101710,101710,FRPE,4,2.5,47.9,,,,,,,,,,,,1.3,DS,284,142.5
1095,101720,101720,FRPE,1.3,7.3,55,,,,,,,,,,,,1.3,DS,281.29999,147.3
1095,101733,101733,FRPE,8,8.6,51.4,,,,,,,,,,,,1.3,DS,288,148.60001
1096,101750,101750,FRPE,8.7,5.6,31.2,,,,,,,,,,,,1.3,DS;Q,288.70001,155.60001
1105,10952,10952,FRPE,8.8,4.8,32.5,,,,,,,,,,,,1.3,DS,98.8,44.8
1105,10965,10965,FRPE,4.8,8,33.8,,,,,,,,,,,,1.3,DS;X,94.8,48
1105,10966,10966,FRPE,3.8,10,14.3,,,,,,,,,,,,1.3,DS,93.8,50
1106,10971,10971,FRPE,6,3.6,30.5,,,,,,,,,,,,1.3,DS,96,53.6
1106,10973,10973,LIST2,2.5,5.5,26.9,,,,,,,,,,,,1.3,DS;X;XY,92.5,55.5
1106,10978,10978,FRPE,0.3,7.8,39.8,,,,,,,,,,,,1.3,DS,90.3,57.8
1106,10981,10981,FRPE,6.2,9,13.7,,,,,,,,,,,,1.3,DS,96.2,59
1107,10982,10982,FRPE,3.7,5.1,20,,,,,,,,,,,,1.3,DS;IR,93.7,65.1
1107,10983,10983,FRPE,2.3,7,45,,,,,,,,,,,,1.3,DS,92.3,67
1107,10986,10986,FRPE,7.5,2.8,42.8,,,,,,,,,,,,1.3,DS,97.5,62.8
1107,10988,10988,FRPE,7.4,5.7,28.2,,,,,,,,,,,,1.3,DS,97.4,65.7
1108,10995,10995,FRPE,3.4,7,10.4,,,,,,,,,,,,1.3,DS,93.4,77
1108,10999,10999,FRPE,5.1,9.7,15.8,,,,,,,,,,,,1.3,DS,95.1,79.7
1139,110434,110434,LITU,0.7,0.4,72.3,,,,,,,,,,,,1.3,DS,220.7,280.39999
1139,110435,110435,LITU,0.7,2,38.8,,,,,,,,,,,,1.3,DS;L,220.7,282
1223,42339,42339,LIST2,3.1,3.6,22.1,Snag,A,,1,,10,,21.5,,,,1.3,DS,213.10001,323.60001
1254,42659,42658,CACA18,4.1,6.2,11,,,,,,,,,,,,1.32,DS;A,244.10001,336.20001
1258,42829,42829,CACA18,3.5,0.2,10.2,,,,,,,,,,,,1.16,DS;Q,243.5,370.20001
1268,42933,42933,CACA18,4.7,6.2,13.1,Snag,A,,3,,,,,1.95,,,1.3,DS;X,254.7,376.20001
1268,42933,42933,CACA18,4.7,6.2,13.1,Log,B,,3,,1,10,11.7,,,,,,,
1311,130938,130938,LIST2,9.7,1.3,15.8,,,,,,,,,,,,1.3,DS,309.70001,1.3
1312,130346,130346,LIST2,4.8,7.8,13,,,,,,,,,,,,1.32,DS,304.79999,17.8
1315,130131,130131,ULRU,7.2,3.2,72.7,,,,,,,,,,,,1.3,DS,307.20001,43.2
1317,130154,130154,ULRU,2.5,1.2,20,,,,,,,,,,,,1.3,DS,302.5,61.2
1321,130438,130438,ULRU,9,5.7,12.2,,,,,,,,,,,,1.3,DS,319,5.7
1321,130445,130445,LIST2,0.8,8.3,11.4,,,,,,,,,,,,1.3,DS;Q,310.79999,8.3
1323,130480,130480,ULRU,4.5,4,14,,,,,,,,,,,,1.3,DS,314.5,24
1332,130054,130054,LIST2,1.4,2.4,16.4,,,,,,,,,,,,1.3,DS;X,321.39999,12.4
1337,130293,130293,LIST2,1.7,6.4,23.4,,,,,,,,,,,,1.3,DS,321.70001,66.4
1341,130796,130796,ULRU,6.9,4.1,13.7,,,,,,,,,,,,1.3,DS;X,336.89999,4.1
1346,130551,130551,QURU,2.3,2.2,45.4,,,,,,,,,,,,1.3,DS;L,332.29999,52.2
1351,130975,130975,LIST2,4.9,4.5,10.2,Snag,A,,,,2,,10,,,,1.3,DS;Q,344.89999,4.5
1351,130975,130975,LIST2,4.9,4.5,10.2,Log,B,,,,,4.8,9,6,,,,,,
1363,131163,131163,LIST2,9.5,1.9,57.8,,,,,,,,,,,,1.3,DS,359.5,21.9
1371,131434,131434,AIAL,1.1,9.9,10.5,,,,,,,,,,,,1.3,DS,361.10001,9.9
1398,134046,134046,LITU,0.8,5.2,79.1,,,,,,,,,,,,1.3,DS;X,380.79999,75.2
1412,140114,140114,FRPE,2.1,9.5,48.9,,,,,,,,,,,,1.3,DS,302.10001,119.5
1413,140116,140116,ULRU,3.2,1.1,16.1,,,,,,,,,,,,1.3,DS,303.20001,121.1
1413,140121,140121,FRPE,10.1,3.6,31.3,,,,,,,,,,,,1.3,DS,310.10001,123.6
1413,140128,140128,FRPE,0.8,7.7,41.4,,,,,,,,,,,,1.3,DS,300.79999,127.7
1414,140132,140132,FRPE,2.3,2.6,28.9,,,,,,,,,,,,1.3,DS,302.29999,132.60001
1414,140148,140148,FRPE,3.4,7,56.4,,,,,,,,,,,,1.3,DS,303.39999,137
1415,140186,140186,PRSE2,0.8,7.4,14.7,,,,,,,,,,,,1.3,DS,300.79999,147.39999
1415,140193,140193,FRPE,2.2,9.5,69.4,,,,,,,,,,,,1.3,DS,302.20001,149.5
1416,140427,140427,ULRU,7.3,3.4,24.5,,,,,,,,,,,,1.3,DC,307.29999,153.39999
1418,140486,140486,FRPE,3.5,8.3,50,,,,,,,,,,,,1.3,DS,303.5,178.3
1423,140029,140029,FRPE,0.4,0.5,44.3,,,,,,,,,,,,1.3,DS,310.39999,120.5
1423,140032,140031,FRPE,2.8,1,12.6,,,,,,,,,,,,1.3,DS,312.79999,121
1423,140032,140032,FRPE,2.8,1,21.1,,,,,,,,,,,,1.3,DS,312.79999,121
1423,140035,140035,FRPE,6.4,7.2,59.8,,,,,,,,,,,,1.3,DS,316.39999,127.2
1423,140037,140037,FRPE,4.1,9,37.8,,,,,,,,,,,,1.3,DS,314.10001,129
1424,140045,140045,FRPE,1.5,5.2,23,,,,,,,,,,,,1.3,DC,311.5,135.2
1424,140048,140048,FRPE,4.1,7.2,21.8,,,,,,,,,,,,1.3,DS,314.10001,137.2
1425,140055,140055,ULRU,1.5,1.8,11.8,,,,,,,,,,,,1.3,DC;TC,311.5,141.8
1426,140076,140075,ACRU,10,0.2,27.5,,,,,,,,,,,,1.3,DS;X;Q,320,150.2
1426,140077,140077,FRPE,5.4,4.9,58.7,,,,,,,,,,,,1.3,DS,315.39999,154.89999
1426,140077,140078,FRPE,5.4,4.9,52,,,,,,,,,,,,1.3,DS;MT,315.39999,154.89999
1427,140097,140097,FRPE,4.5,2,49,,,,,,,,,,,,1.3,DS,314.5,162
1428,140342,140342,ULRU,9.3,3.6,21.7,,,,,,,,,,,,1.3,DS,319.29999,173.60001
1434,140246,140246,FRPE,2.8,0.6,26.5,,,,,,,,,,,,1.3,DS,322.79999,130.60001
1434,140247,140247,FRPE,2.5,3.6,26.5,,,,,,,,,,,,1.3,DS,322.5,133.60001
1435,140058,140058,FRPE,0,0.7,63.8,,,,,,,,,,,,1.3,DS,320,140.7
1436,140625,140625,PLOC,0.3,9.4,27.2,,,,,,,,,,,,1.3,DS;Q,320.29999,159.39999
1459,141322,141322,QUPA2,1.2,4.5,79.5,,,,,,,,,,,,1.3,DS;X,341.20001,184.5
1463,141585,141585,LIST2,4.5,7.1,28.9,,,,,,,,,,,,1.3,DS;X,354.5,127.1
1475,142738,142738,ULRU,0.2,9.2,14.2,,,,,,,,,,,,1.35,DS;X,360.20001,149.2
1484,142293,142293,UNKN,5.6,0.7,16,,,,,,,,,,,,1.3,DS;Q,375.60001,130.7
1486,142324,142324,LIST2,2.6,7.2,33.6,,,,,,,,,,,,1.3,DS;Q,372.60001,157.2
1497,142406,142406,LIST2,6.4,9.9,20.5,,,,,,,,,,,,1.3,DS,386.39999,169.89999
1498,142197,142197,LIST2,8.2,7.1,16.7,,,,,,,,,,,,1.3,DS;X;I,388.20001,177.10001
1498,142404,142404,COFL2,0.6,9.4,10.5,,,,,,,,,,,,1.32,DS,380.60001,179.39999
1516,153482,153482,ULRU,11.8,0.6,23.7,,,,,,,,,,,,1.3,DS,311.79999,250.60001
1517,151401,151401,ULAM,9.6,8.9,31,,,,,,,,,,,,1.3,DS;X,309.60001,268.89999
1518,151139,151139,ULAM,13.1,3.9,24.5,Snag,A,,2,,2,,24.5,,,,1.3,DS,313.10001,273.89999
1518,151139,151139,ULAM,13.1,3.9,,Log,B,,1,,,19.2,21.5,1.2,,,,,,
1527,153169,153169,ULRU,6.1,9.8,20.5,Log,A,,2,A,,15.1,20.2,5,,,1.3,DS,316.10001,269.79999
1529,152425,152425,FRPE,8.8,0.9,29.1,Snag,A,,1,,20,,28.8,,,,1.3,DS,318.79999,280.89999
1531,152643,152643,ULRU,0.3,5.5,37.4,,,,,,,,,,,,1.3,DS,320.29999,205.5
1532,152985,152985,FRAM2,3,8.1,18.2,Log,,,1,,,9.6,18,13.8,,,1.3,DC;MT,323,218.10001
1542,152576,152576,ULRU,1.7,9,19.6,Snag,A,,2,,7.5,,19.5,,,,1.3,DS;MT,331.70001,219
1544,152849,152849,QUPA2,5.4,6.1,94.3,Snag,A,,2,,35,,94.1,,,,1.3,DS,335.39999,236.10001
1553,150541,150541,ACRU,8.1,8.5,57,Log,A,,1,,,53.7,55.3,9.7,,,1.3,DC,348.10001,228.5
1557,151258,151258,ULRU,2.7,1,18,,,,,,,,,,,,1.3,DS;L,342.70001,261
1565,151785,151784,ACRU,6.3,9.1,37.3,Snag,A,,2,,2.3,,36.6,,,,1.3,DS;X;MA,356.29999,249.10001
1565,151785,151784,,,,,Log,B,,2,,,22,28.6,11.3,,,,,,
1566,151599,151599,ULRU,7.1,4.8,13.9,,,,,,,,,,,,1.3,DC,357.10001,254.8
1567,150704,150704,ULRU,9.9,6.4,12,,,,,,,,,,,,1.3,DS;X,359.89999,266.39999
1568,152937,152937,ULRU,3.7,8.9,19.3,,,,,,,,,,,,1.3,DS,353.70001,278.89999
1571,150094,150094,LIST2,4.2,0,18.6,Snag,A,,2,,3,,19,,,,1.3,DS,364.20001,200
1575,151020,151020,ACRU,8.7,3.8,39.2,,,,,,,,,,,,1.3,DS;Q,368.70001,243.8
1578,151072,151072,LITU,8.2,1.9,18,Snag,A,,2,,6.5,,17,,,,1.3,DS,368.20001,271.89999
1592,150202,150202,FAGR,3.5,3.5,55.4,,,,,,,,,,,,1.3,DS;L,383.5,213.5
1614,162074,162074,LIST2,8.7,7.1,79.1,,,,,,,,,,,,1.3,DS,308.70001,337.10001
1628,163151,163151,LITU,2.1,4.5,10,,,,,,,,,,,,1.3,DS;Q;RS,312.10001,374.5
1645,160800,160800,PLOC,1,4.7,50.7,,,,,,,,,,,,1.3,DS;X,331,344.70001
1652,160909,160909,LIST2,4.9,9.9,30.7,,,,,,,,,,,,1.3,DS;I;MT,344.89999,319.89999
1664,160500,160499,QUAL,4,4.5,29.5,,,,,,,,,,,,1.55,DS;A;X,354,334.5
1666,160599,160599,PRAV,3.3,9.7,13.7,,,,,,,,,,,,1.3,DS;X;L;IR,353.29999,359.70001
1669,162752,162752,PLOC,1.4,5.8,65,,,,,,,,,,,,1.3,DS;MT;Q,351.39999,385.79999
1671,160394,160394,QUAL,5.1,9.2,89.4,Snag,,,1,,40,,88.9,,,,1.3,DS;IR,365.10001,309.20001
1674,161427,161427,LITU,4.9,9.1,21,,,,,,,,,,,,1.3,DS;Q,364.89999,339.10001
1683,160230,160230,ACRU,1.9,1.3,10.9,,,,,,,,,,,,1.3,DS;L;XY,371.89999,321.29999
1683,160231,160231,LITU,2.7,2.4,15.8,,,,,,,,,,,,1.3,DS;X,372.70001,322.39999
1685,160517,160517,QUVE,2.3,10,71.3,,,,,,,,,,,,1.3,DS;X,372.29999,350
1693,160148,160148,PIVI2,9,1,19.9,Snag,A,,2,,15,,20,,,,1.3,DS,389,321
1693,160154,160154,PIVI2,3.8,3.7,24.3,Snag,A,,1,,16,,24.5,,,,1.3,DS,383.79999,323.70001
1693,162989,162989,PITA,0.3,2.4,22.3,Snag,A,,1,,16,,22.5,,,,1.3,DS,380.29999,322.39999
1698,160281,160281,QUAL,1.9,5.2,65.2,,,,,,,,,,,,1.3,DS;X,381.89999,375.20001
2710,21158,21158,LITU,1.4,9.2,43.9,,,,,,,,,,,,1.3,DS;L,61.4,199.2
3106,31496,31496,LIST2,4.4,5.7,35.1,,,,,,,,,,,,1.3,DC,94.4,255.7
3510,30887,30887,FRAM2,5.8,5.8,21.5,Snag,A,,2,,5.2,,21.5,,,,1.3,DS;XY,45.8,295.79999
3510,30887,30887,FRAM2,5.8,5.8,,Log,B,,1,,,17.5,18.3,2,,,,,,
3510,30887,30887,FRAM2,5.8,5.8,,Log,C,,1,,,18.3,19.1,0.82,,,,,,
3510,30887,30887,FRAM2,5.8,5.8,,Log,D,,1,,,12.7,17,8,,,,,,
4101,41481,41481,QURU,1.5,0.5,60.4,,,,,,,,,,,,1.3,DS,91.5,300.5
4105,41732,41732,QUAL,1.1,1.6,21.4,,,,,,,,,,,,1.3,DS,91.1,341.60001
4106,41756,41756,QUAL,1.8,3.2,24.2,,,,,,,,,,,,1.3,DS,91.8,353.20001
4110,40722,40722,PIVI2,1.1,9.9,19.9,,,,,,,,,,,,1.3,DC,1.1,399.89999
4210,40633,40633,PIVI2,1.3,1.6,19,,,,,,,,,,,,1.3,DS;X,11.3,391.60001
4310,40808,40808,COFL2,3.2,3.6,11.1,,,,,,,,,,,,1.3,DC,23.2,393.60001
4410,41292,41292,COFL2,0.5,2.8,10.2,,,,,,,,,,,,1.3,DS,30.5,392.79999
4810,41952,41952,ACRU,1.8,10,12,,,,,,,,,,,,1.3,DS;L,71.8,400
5104,51394,51394,COFL2,5.2,0.5,13,,,,,,,,,,,,1.3,DS;X,195.2,30.5
5105,53711,53711,FRPE,2.8,9.6,43.1,,,,,,,,,,,,1.3,DS;X,192.8,49.6
5105,53712,53712,FRPE,3.8,8.8,31.2,,,,,,,,,,,,1.3,DS,193.8,48.8
5106,53525,53525,FRPE,9.9,4.3,54.1,,,,,,,,,,,,1.3,DS;X,199.89999,54.3
5108,53661,53661,FRPE,0.5,8,40.5,,,,,,,,,,,,1.3,DS,190.5,78
5910,50750,50750,LIST2,5.5,4,19.8,,,,,,,,,,,,1.3,DS;X;MT,185.5,94
5910,50757,50757,FRPE,8.6,1.6,28,,,,,,,,,,,,1.3,DS,188.60001,91.6
5910,50759,50759,FAGR,8.9,7,12.9,,,,,,,,,,,,1.3,DS;X;MT,188.89999,97
6105,61427,61427,QUAL,4.8,3.9,50.2,,,,,,,,,,,,1.3,DS;X;MT,194.8,143.89999
7104,71652,71652,COFL2,5.4,5.4,11.8,,,,,,,,,,,,1.28,DS;L,195.39999,235.39999
9101,90001,90001,LIST2,6.8,0.5,14.2,,,,,,,,,,,,1.3,DS;X,296.79999,0.5
9101,90007,90007,LIST2,2.1,8.4,14.5,,,,,,,,,,,,1.3,DS;X,292.10001,8.4
9102,90023,90023,LIST2,8.2,2.3,14.7,,,,,,,,,,,,1.3,DS,298.20001,12.3
9105,90099,90099,LIST2,6.8,3.6,13,,,,,,,,,,,,1.3,DS;X,296.79999,43.6
9107,90519,90519,FRPE,2.8,6,37.5,,,,,,,,,,,,1.3,DS,292.79999,66
9109,90556,90556,ULRU,0.6,1.9,27.1,,,,,,,,,,,,1.3,DS,290.60001,81.9
9109,90557,90557,FRPE,3.2,0.2,35.9,,,,,,,,,,,,1.3,DS;RS,293.20001,80.2
9109,90575,90575,FRPE,7.1,9.1,79.6,,,,,,,,,,,,1.3,DS;IR;I,297.10001,89.1
9110,91692,91692,FRPE,3.5,8.9,27.9,,,,,,,,,,,,1.3,DS;MT,203.5,98.9
9410,92221,92221,FRPE,6.8,8.5,43.3,,,,,,,,,,,,1.3,DS,236.8,98.5
9510,92003,92003,FRPE,7.6,6.2,40.6,,,,,,,,,,,,1.3,DS,247.60001,96.2
9510,92450,92450,FRPE,3.7,5.3,51.4,,,,,,,,,,,,1.3,DS,243.7,95.3
9510,92460,92460,FRPE,3.1,2.6,24.2,,,,,,,,,,,,1.3,DS;SP,243.10001,92.6
9510,92468,92468,FRPE,0.3,2.9,69.4,,,,,,,,,,,,1.3,DS,240.3,92.9
9710,91058,91058,FRPE,4.1,2.6,51.9,,,,,,,,,,,,1.3,DS,264.10001,92.6
9710,91066,91066,FRPE,8.1,5.5,11.6,,,,,,,,,,,,1.3,DS,268.10001,95.5
9810,90867,90867,FRPE,0.2,7.5,22.1,,,,,,,,,,,,1.3,DS;X,270.20001,97.5
9910,90647,90647,FRPE,1.6,3.3,58.2,,,,,,,,,,,,1.3,DS,281.60001,93.3
9910,90648,90648,FRPE,0.3,8.8,18.2,,,,,,,,,,,,1.3,DS,280.29999,98.8
10101,102408,102408,FRPE,6.3,8,52.1,,,,,,,,,,,,1.3,DS,296.29999,108
10101,102415,102415,LIST2,8.4,9,38.8,,,,,,,,,,,,1.3,DS;MT,298.39999,109
10104,102337,102337,FRPE,3.5,8,75.8,,,,,,,,,,,,1.3,DS,293.5,138
10106,102126,102126,FRPE,1.4,10,40.5,,,,,,,,,,,,1.3,DS;X,291.39999,160
10106,102138,102138,FRPE,8.6,7.5,75.2,,,,,,,,,,,,1.3,DS,298.60001,157.5
10810,101495,101495,LIST2,2.7,1.5,16.6,,,,,,,,,,,,1.3,DS;IR,272.70001,191.5
11108,112167,112168,LIST2,1.8,8.8,28.1,Snag,,,4,,6.5,,27.5,,,,1.3,DS;I;X,291.79999,278.79999
13101,132429,132429,AIAL,5.7,6.1,26.7,,,,,,,,,,,,1.3,DS;X,395.70001,6.1
13101,132445,132445,AIAL,3.4,6.7,24.5,,,,,,,,,,,,1.31,DS,393.39999,6.7
13102,132472,132472,LITU,9.5,4.4,33.9,,,,,,,,,,,,1.3,DS;X,399.5,14.4
13107,132631,132631,PLOC,2.2,7.5,58.9,,,,,,,,,,,,1.3,DS,392.20001,67.5
13110,130896,130896,FRPE,5.8,9.1,48.9,,,,,,,,,,,,1.3,DS,305.79999,99.1
13910,133027,133028,PLOC,2.2,1.8,28.6,,,,,,,,,,,,1.3,DS,382.20001,91.8
14104,142020,142020,LITU,4.4,3.3,21,,,,,,,,,,,,1.3,DS,394.39999,133.3
14108,142524,142524,LIST2,2.8,7.1,26.6,,,,,,,,,,,,1.3,DS;X,392.79999,177.10001
14109,142544,142544,ULAM,4.2,9.6,17,,,,,,,,,,,,1.3,DS,394.20001,189.60001
14110,140835,140835,QUPA2,5.8,7.9,72.9,,,,,,,,,,,,1.3,DS,305.79999,197.89999
14210,140284,140283,ACRU,9,9,32.6,,,,,,,,,,,,1.36,DS,319,199
14310,140595,140595,ULRU,3.2,7.8,21.9,,,,,,,,,,,,1.3,DS,323.20001,197.8
14910,142379,142379,LITU,0.6,4,11.3,,,,,,,,,,,,1.3,DS;X,380.60001,194
14910,142388,142388,LITU,9.5,5.6,18.7,,,,,,,,,,,,1.3,DS,389.5,195.60001
15108,150265,150265,LIST2,6.8,6.1,34.3,,,,,,,,,,,,1.3,DC;R,396.79999,276.10001
15710,152518,152518,LITU,3.9,4.4,22.7,,,,,,,,,,,,1.32,DS;X;A,363.89999,294.39999
15910,150077,150077,UNKN,8.9,4.2,34.3,,,,,,,,,,,,1.3,DS,388.89999,294.20001
16109,162435,162435,UNKN,3.8,8.4,48.6,,,,,,,,,,,,1.3,DS;X,393.79999,388.39999
41010,42016,42016,FRAM2,5,5,45,Snag,A,,1,,6,,45,,,,1.3,DS,95,395
41010,42016,42016,FRAM2,5,5,,Log,B,,1,,,10.9,32,22.1,,,,,,
91010,90585,90585,FRPE,0.6,4.2,33.9,,,,,,,,,,,,1.3,DS,290.60001,94.2
121010,43741,43741,LIST2,7.5,1.9,36.3,,,,,,,,,,,,1.3,DS;MT,297.5,391.89999
141010,142560,142560,PIVI2,8.8,5.5,34,,,,,,,,,,,,1.3,DS,398.79999,195.5