QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
458,no tag,,,,,lying whole,,A,,,3,,,,,,,20.2,,10.4,,,,
459,41135,,,,,standing broken,,D,,,2,,,,,,,23.2,,1.3,,,,
461,no tag,,,,,lying whole,,A,,,3,,,,,,,55.8,,18.3,,,,
461,40857,,,,,standing broken,,A,,,1,,,,,,,20,,9.1,,,,
462,40862,,,,,standing broken,,A,,,1,,,,,,,34.6,,16.1,,,,
463,41657,,,,,standing broken,,C,,,2,,,,,,,33.4,,2.7,,,,
463,40866,,,,,standing broken,,A,,,1,,,,,,,58.8,,16.5,,,,
464,no tag,,,,,lying whole,,A,,,3,,,,,,,49,,12,,,,
465,41106,,,,,standing dead,,A,,,3,,,2.4,,,,21.8,,,,,,no top
467,no tag,,,,,lying whole,,A,,,3,,,,,,,21.3,,15.2,,,,
468,41135,,,,,standing broken,,A,,,2,,,5,,35.8,,45.6,,,,,,
468,41135,,,,,standing broken,,B,,,2,,,,,,,35.8,,4.3,,,,
469,no tag,,,,,lying whole,,A,,,3,,,,,,,43,,10.7,,,,
469,no tag,,,,,lying whole,,A,,,3,,,,,,,37,,24.5,,,,
469,41135,,,,,standing broken,,C,,,2,,,,,,,29,,5,,,,
473,41017,,,,,lying whole,,A,,,2,,,,,,,31.6,,23.2,,,,
474,no tag,,,,,lying whole,,A,,,2,,,,,,,10,,6.3,,,,
475,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
476,41067,,,,,lying whole,,A,,,2,,,,,,,24.3,,12.5,,,,
477,41077,,,,,lying whole,,A,,,3,,,,,,,28.3,,5.4,,,,
477,41075,,,,,lying whole,,A,,,3,,,,,,,32.2,,11.8,,,,
478,no tag,,,,,lying whole,,A,,,3,,,,,,,20,,7.1,,,,
478,41083,,,,,standing broken,,A,,,1,,,,,,,3.5,,3.5,,,,
478,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
482,41634,,,,,standing broken,,A,,,2,,,12,,18.1,,26.1,,,,,,
482,41634,,,,,standing broken,,B,,,2,,,,,,,18.1,,7.1,,,,
483,41646,,,,,lying whole,,A,,,2,,,,,,,4.6,,4.6,,,,
484,41657,,,,,standing broken,,A,,,2,,,5,,44.2,,54,,,,,,
484,41657,,,,,standing broken,,B,,,2,,,,,,,44.2,,15.3,,,,
487,41901,,,,,standing dead,,A,,,2,,,,,,,35.5,,,,,,
487,41906,,,,,lying whole,,A,,,2,,,,,,,35.2,,19.5,,,,
487,41686,,,,,standing broken,,A,,,2,,,3.5,,,,4,,,,,,
492,41548,,,,,lying whole,,A,,,3,,,,,,,21.7,,6.9,,,,
498,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
511,no tag,,,,,lying whole,,A,,,3,,,,,,,7.3,,7.7,,,,
511,50007,,,,,lying whole,,A,,,1,,,,,,,5.3,,4.2,,,,stump sprouts
515,50193,,,,,standing dead,,A,,,2,,,,,,,2.4,,,,,,
515,50194,,,,,standing dead,,A,,,2,,,,,,,3.2,,,,,,
521,50103,,,,,standing dead,,A,,,2,,,,,,,4.4,,,,,,
529,50343,,,,,stump,,A,,,3,,,,,,,,,,,,,
535,50071,,,,,lying whole,,A,,,2,,,,,,,5,,2.8,,,,
539,no tag,,,,,lying whole,,A,,,3,,,,,,,5.7,,2.4,,,,
544,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
545,50651,,,,,standing dead,,A,,,2,,,,,,,1.7,,,,,,
545,50652,,,,,standing dead,,A,,,2,,,,,,,1.4,,,,,,
546,no tag,,,,,lying whole,,A,,,3,,,,,,,31.1,,7.6,,,,
551,50401,,,,,lying whole,,A,,,2,,,,,,,8.1,,4.6,,,,
551,50402,,,,,standing dead,,A,,,3,,,,,,,48.3,,,,,,
555,no tag,,,,,lying broken,,B,,,3,,,,,,,22.6,,2.4,,,,
558,no tag,,,,,lying whole,,A,,,3,,,,,,,58.4,,13,,,,
558,no tag,,,,,lying whole,,A,,,3,,,,,,,59.6,,15.1,,,,
561,50495,,,,,standing broken,,A,,,3,,,,,,,69.4,,,,,,no top
564,no tag,,,,,standing broken,,A,,,3,,,1.3,,,,36.7,,,,,,no top
565,no tag,,,,,lying broken,,A,,,3,,,,,,,31.5,,9.6,,,,
566,no tag,,,,,lying whole,,A,,,3,,,,,,,43.6,,2,,,,
567,53952,,,,,standing dead,,A,,,2,,,,,,,11.5,,,,,,
568,no tag,,,,,lying whole,,A,,,3,,,,,,,45.4,,15.6,,,,
569,no tag,,,,,lying whole,,A,,,3,,,,,,,31.5,,8.3,,,,
571,50804,,,,,lying whole,,A,,,3,,,,,,,7.5,,5.4,,,,
571,50807,,,,,stump,,A,,,3,,,2,,,,44.5,,,,,,
573,no tag,,,,,lying whole,,A,,,3,,,,,,,33.8,,6.3,,,,
574,50871,,,,,lying whole,,A,,,2,,,,,,,12.2,,8.8,,,,
578,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
581,51127,,,,,standing dead,,A,,,2,,,,,,,9.5,,,,,,
584,53663,,,,,standing dead,,A,,,2,,,,,,,10.5,,,,,,
585,no tag,,,,,lying whole,,A,,,3,,,,,,,18,,,,,,
587,51361,,,,,lying whole,,A,,,2,,,,,,,19.8,,13.9,,,,
589,51258,,,,,standing dead,,A,,,2,,,,,,,20.5,,,,,,
591,51208,,,,,standing dead,,A,,,2,,,,,,,4.3,,,,,,
592,no tag,,,,,lying whole,,A,,,3,,,,,,,37.1,,16.1,,,,
593,51161,,,,,stump,,A,,,2,,,,,,,,,,,,,
594,no tag,,,,,lying whole,,A,,,3,,,,,,,14,,5.6,,,,
594,53840,,,,,standing dead,,A,,,2,,,,,,,3,,,,,,
594,53841,,,,,standing dead,,A,,,2,,,,,,,7.3,,,,,,
594,53842,,,,,standing dead,,A,,,2,,,,,,,22,,,,,,
596,53882,,,,,lying whole,,A,,,2,,,,,,,19,,11.6,,,,
599,51031,,,,,standing broken,,A,,,3,,,5,,24.7,,49.5,,,,,,
599,51031,,,,,standing broken,,B,,,3,,,,,,,24.7,,12.6,,,,
612,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
613,no tag,,,,,lying broken,,A,,,2,,,,,,,17.8,,2.9,,,,
614,60054,,,,,standing broken,,A ,,,3,,,3,,,,20,,,,,,no top
615,60060,,,,,standing dead,,A,,,2,,,,,,,8.9,,,,,,
615,no tag,,,,,lying whole,,A,,,2,,,,,,,77.9,,19.4,,,,
616,60173,,,,,lying broken,,C,,,2,,,,,,,15,,1.2,,,,
616,60173,,,,,lying broken,,D,,,2,,,,,,,14.2,,1.8,,,,
616,60173,,,,,lying broken,,E,,,2,,,,,,,13.5,,1.3,,,,
616,60173,,,,,lying broken,,F,,,2,,,,,,,10.8,,1.4,,,,
617,60207,,,,,standing dead,,A,,,1,,,,,,,2.2,,,,,,leaning
617,60227,,,,,lying whole,Log,A,A,,1,2,,,,,,74.9,,22.3,,,,
618,60243,,,,,lying whole,,A,,,1,,,,,,,10.5,,4.9,,,,leaning
618,60233,,,,,lying whole,,A,,,1,,,,,,,6.5,,5.6,,,,
619,60282,,,,,standing broken,,C,,,2,,,,,,,32.1,,10.7,,,,
619,60261,,,,,lying whole,,A,,,1,,,,,,,5.5,,5,,,,
619,60255,,,,,lying whole,,A,,,1,,,,,,,4.6,,3.2,,,,
622,no tag,,,,,lying whole,,A,,,3,,,,,,,23.4,,15.3,,,,
623,no tag,,,,,lying broken,,B,,,2,,,,,,,17.7,,8.8,,,,
624,no tag,,,,,lying whole,,A,,,2,,,,,,,15.6,,9.5,,,,
624,60138,,,,,lying whole,,A,,,2,,,,,,,4.6,,4.6,,,,
625,60173,,,,,lying broken,,A,,,2,,,,,,,22.5,,4.8,,,,
626,60173,,,,,lying broken,,B,,,2,,,,,,,17.3,,1.9,,,,
627,60179,,,,,lying whole,,A,,,2,,,,,,,53.5,,11.6,,,,
629,60321,,,,,lying broken,,A,,,2,,,,,,,11.1,,4.4,,,,
633,60430,,,,,stump,,A,,,2,,,,,,,,,,,,,
635,60453,,,,,lying whole,,A,,,3,,,,,,,9.1,,4.2,,,,
637,no tag,,,,,lying whole,,A,,,3,,,,,,,15.8,,10.1,,,,
639,60321,,,,,lying broken,,B,,,2,,,,,,,10.1,,2.9,,,,
645,60390,,,,,lying whole,,A,,,3,,,,,,,17.2,,11.8,,,,
645,60393,,,,,standing dead,,A,,,2,,,,,,,16.2,,,,,,
646,60604,,,,,lying whole,,A,,,2,,,,,,,11.6,,8.5,,,,
647,60617,,,,,lying whole,,A,,,2,,,,,,,11,,4.6,,,,
647,60613,,,,,standing broken,,A,,,2,,,2,,11,,13.3,,,,,,
647,60613,,,,,standing broken,,B,,,2,,,,,,,11,,4.6,,,,
651,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
658,60782,,,,,lying whole,,A,,,2,,,,,,,13.2,,8.4,,,,
662,60686,,,,,standing dead,,A,,,2,,,,,,,13.1,,,,,,
662,60683,,,,,standing dead,,A,,,2,,,,,,,18.9,,,,,,
662,60671,,,,,lying whole,,A,,,2,,,,,,,92.1,,13,,,,
664,no tag,,,,,lying whole,,A,,,3,,,,,,,9.6,,3.9,,,,
666,60830,,,,,standing broken,,B,,,2,,,,,,,8.8,,7.3,,,,
666,60826,,,,,lying whole,,A,,,2,,,,,,,13.6,,4.3,,,,
667,60830,,,,,standing broken,,A,,,2,,,3,,8.8,,10.6,,,,,,
671,no tag,,,,,lying whole,,A,,,3,,,,,,,12,,3.4,,,,
674,no tag,,,,,lying whole,,A,,,3,,,,,,,28.2,,11.4,,,,
674,no tag,,,,,lying broken,,A,,,3,,,,,,,39.1,,8.6,,,,
675,60958,,,,,lying whole,,A,,,2,,,,,,,11.5,,5.5,,,,
675,60950,,,,,lying whole,,A,,,3,,,,,,,18.8,,4.9,,,,
676,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
676,60971,,,,,lying whole,,A,,,2,,,,,,,8.2,,3.5,,,,
678,no tag,,,,,lying whole,,A,,,3,,,,,,,15.3,,7.1,,,,
681,61015,,,,,standing dead,,A,,,2,,,,,,,29.3,,,,,,
681,61010,,,,,stump,,A,,,2,,,,,,,,,,,,,
681,61011,,,,,stump,,A,,,2,,,,,,,,,,,,,
681,61008,,,,,standing broken,,A,,,2,,,,,48.2,,76.9,,,,,,top?
682,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
683,61032,,,,,standing dead,,A,,,2,,,,,,,17.6,,,,,,
684,61044,,,,,lying whole,,A,,,2,,,,,,,4,,4.2,,,,
687,61095,,,,,lying broken,,A,,,2,,,,,,,7.5,,3.4,,,,
687,61095,,,,,lying broken,,B,,,2,,,,,,,7.1,,2.3,,,,
693,no tag,,,,,lying broken,,B,,,3,,,,,,,37.2,,5.4,,,,
693,61174,,,,,lying whole,,A,,,3,,,,,,,7.2,,1.8,,,,
693,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
694,no tag,,,,,lying whole,,A,,,3,,,,,,,8.3,,3.8,,,,
694,61179,,,,,standing dead,,A,,,2,,,,,,,6.5,,,,,,
695,61185,,,,,lying whole,,A,,,2,,,,,,,18.3,,14.6,,,,
695,no tag,,,,,lying whole,,A,,,3,,,,,,,11,,3.4,,,,
695,no tag,,,,,lying whole,,A,,,3,,,,,,,20.1,,6.3,,,,
697,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
697,61321,,,,,lying whole,,A,,,2,,,,,,,10,,5.6,,,,
698,no tag,,,,,lying whole,,A,,,3,,,,,,,15.5,,6.7,,,,
699,61348,,,,,lying whole,,A,,,3,,,,,,,13.9,,2.4,,,,
699,no tag,,,,,lying whole,,A,,,3,,,,,,,11.6,,5.2,,,,
711,70002,,,,,standing broken,,A,,,2,,,8,,,,35.7,,,,,,
713,no tag,,,,,lying broken,,A,,,3,,,,,,,97,,16.7,,,,
718,70430,,,,,standing dead,,A,,,2,,,,,,,4,,,,,,
729,70378,,,,,standing broken,,A,,,1,,,,,,,5.3,,4.8,,,,connected
731,70202,,,,,lying broken,,A,,,2,,,,,,,22.5,,8.4,,,,
731,70202,,,,,lying broken,,B,,,2,,,,,,,14.5,,3.9,,,,
731,no tag,,,,,lying whole,,A,,,2,,,,,,,4.8,,1.6,,,,
734,70256,,,,,lying broken,,A,,,3,,,,,,,47.6,,14.9,,,,
734,no tag,,,,,lying whole,,A,,,3,,,,,,,11.1,,3.8,,,,
735,70256,,,,,lying broken,,B,,,3,,,,,,,44.3,,1.2,,,,
735,70256,,,,,lying broken,,C,,,3,,,,,,,33,,2.2,,,,
735,70277,,,,,standing dead,,A,,,2,,,,,,,2.9,,,,,,
736,70300,,,,,standing broken,,A,,,1,,,,,,,13.8,,8.7,,,,connected
736,no tag,,,,,lying whole,,A,,,3,,,,,,,9.8,,8.1,,,,
738,no tag,,,,,lying whole,,A,,,3,,,,,,,16,,6.5,,,,
739,no tag,,,,,lying whole,,A,,,2,,,,,,,7.7,,4.5,,,,branch?
739,70563,,,,,lying whole,,A,,,2,,,,,,,11,,9.4,,,,
739,70558,,,,,standing broken,,A,,,2,,,2,,,,6.1,,,,,,no top
741,70610,,,,,lying whole,,A,,,2,,,,,,,9.7,,4.2,,,,
741,no tag,,,,,lying whole,,A,,,3,,,,,,,43.9,,17.7,,,,
742,70626,,,,,lying whole,,A,,,3,,,,,,,53.5,,17.7,,,,
742,70619,,,,,lying whole,,A,,,2,,,,,,,7.8,,3.9,,,,
744,no tag,,,,,lying whole,,A,,,3,,,,,,,38,,17.2,,,,
745,70670,,,,,lying whole,,A,,,2,,,,,,,10.3,,6.6,,,,leaning on 070678
753,no tag,,,,,,,,,,,,,,,,,,,,,,,
754,no tag,,,,,lying whole,,A,,,2,,,,,,,62.5,,22.1,,,,
755,no tag,,,,,lying whole,,A,,,2,,,,,,,66.6,,24.3,,,,
755,70755,,,,,lying whole,,A,,,3,,,,,,,57.7,,13.5,,,,end cut due to road
761,no tag,,,,,lying whole,,A,,,3,,,,,,,20.8,,11.5,,,,
764,no tag,,,,,lying whole,,A,,,2,,,,,,,12.7,,5,,,,
764,70840,,,,,standing dead,,A,,,2,,,,,,,10.6,,,,,,
764,no tag,,,,,lying whole,,A,,,3,,,,,,,14,,3.9,,,,
764,no tag,,,,,lying whole,,A,,,3,,,,,,,50.6,,25.8,,,,
764,no tag,,,,,lying whole,,A,,,3,,,,,,,63.7,,8,,,,
765,no tag,,,,,lying whole,,A,,,2,,,,,,,76.9,,12.1,,,,LITU
766,no tag,,,,,lying whole,,A,,,2,,,,,,,,,23.5,,,,
767,no tag,,,,,lying whole,,A,,,3,,,,,,,38.2,,4,,,,
767,no tag,,,,,lying whole,,A,,,2,,,,,,,27.4,,24.5,,,,
773,71044,,,,,standing dead,,A,,,2,,,,,,,9.2,,,,,,
776,no tag,,,,,lying whole,,A,,,2,,,,,,,73.5,,20.4,,,,
778,no tag,,,,,lying whole,,A,,,2,,,,,,,35.6,,24.6,,,,
782,no tag,,,,,lying whole,,A,,,2,,,,,,,18.2,,21.8,,,,
783,71138,,,,,standing broken,,A,,,2,,,6,,,,55.3,,,,,,
783,71138,,,,,standing broken,,B,,,2,,,,,,,34.7,,9.2,,,,
788,no tag,,,,,lying broken,,A,,,2,,,,,,,51.7,,14.4,,,,
789,71313,,,,,standing broken,,A,,,3,,,,,,,45.3,,,,,,fragments cut
791,no tag,,,,,lying whole,,A,,,2,,,,,,,5.5,,4.1,,,,
792,71219,,,,,lying whole,,A,,,3,,,,,,,9.5,,5.2,,,,
795,no tag,,,,,lying whole,,A,,,3,,,,,,,58.6,,35.1,,,,
798,no tag,,,,,lying broken,,B,,,2,,,,,,,37,,6.5,,,,
799,no tag,,,,,lying broken,,A,,,2,,,,,,,53.3,,16.5,,,,
814,no tag,,,,,lying broken,,A,,,2,,,,,,,69.1,,6.3,,,,
814,no tag,,,,,lying whole,,A,,,2,,,,,,,14.3,,9.9,,,,
815,no tag,,,,,lying whole,,A,,,1,,,,,,,11,,4.6,,,,
815,no tag,,,,,lying whole,,A,,,3,,,,,,,50,,10.5,,,,
819,80339,,,,,standing broken,,A,,,1,,,7,,59.4,,59.6,,,,,,
822,no tag,,,,,lying whole,,A,,,3,,,,,,,95,,24.8,,,,
824,no tag,,,,,lying broken,,B,,,2,,,,,,,79.7,,14.8,,,,
824,no tag,,,,,lying broken,,C,,,2,,,,,,,45.4,,2.8,,,,
824,no tag,,,,,lying broken,,D,,,2,,,,,,,42.9,,3.7,,,,
824,no tag,,,,,lying broken,,E,,,2,,,,,,,79.7,,3.9,,,,
828,80528,,,,,lying whole,,A,,,2,,,,,,,29,,13.5,,,,
831,no tag,,,,,lying broken,,A,,,3,,,,,,,34.7,,7.4,,,,
831,no tag,,,,,lying broken,,B,,,3,,,,,,,28.4,,4.6,,,,
832,no tag,,,,,lying whole,,A,,,3,,,,,,,25,,8.7,,,,
833,no tag,,,,,lying whole,,A,,,2,,,,,,,19,,8,,,,
835,80267,,,,,standing dead,,A,,,2,,,,,,,14,,,,,,
837,80436,,,,,standing broken,,A,,,2,,,4,,100,,110.8,,,,,,
837,80436,,,,,standing broken,,B,,,2,,,,,,,100,,7.7,,,,
841,no tag,,,,,lying whole,,A,,,3,,,,,,,20.5,,1.6,,,,
841,no tag,,,,,lying whole,,A,,,3,,,,,,,13.8,,6.4,,,,
853,no tag,,,,,lying whole,,A,,,3,,,,,,,19,,9.8,,,,
854,80650,,,,,lying broken,,A,,,3,,,,,,,32,,12.6,,,,
855,80671,,,,,standing broken,,A,,,2,,,,,11,,13,,,,,,
855,80671,,,,,standing broken,,B,,,2,,,,,,,11,,4.3,,,,
855,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
856,no tag,,,,,lying whole,,A,,,3,,,,,,,53,,7.6,,,,
861,80701,,,,,lying whole,,A,,,1,,,,,,,54.9,,30.7,,,,
866,80749,,,,,standing broken,,A,,,2,,,1.5,,10.9,,11,,,,,,
866,80749,,,,,standing broken,,B,,,2,,,,,,,10.9,,,,,,
868,no tag,,,,,lying whole,,A,,,3,,,,,,,31.2,,15.9,,,,
868,no tag,,,,,lying whole,,A,,,3,,,,,,,22.8,,12.9,,,,
872,80971,,,,,standing dead,,A,,,3,,,2,,,,2.1,,,,,,
873,no tag,,,,,lying whole,,A,,,3,,,,,,,12,,5.9,,,,
875,80999,,,,,standing dead,,A,,,3,,,1.5,,,,9.5,,,,,,
879,no tag,,,,,lying whole,,A,,,3,,,,,,,18.3,,10.8,,,,
881,no tag,,,,,lying whole,,A,,,3,,,,,,,28.7,,19.2,,,,
881,81021,,,,,standing dead,,A,,,2,,,,,,,10.5,,,,,,
887,no tag,,,,,lying whole,,A,,,3,,,,,,,19.7,,19.2,,,,
892,81264,,,,,lying whole,,A,,,3,,,,,,,12.6,,4.7,,,,
892,no tag,,,,,lying whole,,A,,,3,,,,,,,30.3,,15.8,,,,
894,no tag,,,,,lying whole,,A,,,3,,,,,,,23.5,,9.7,,,,
895,no tag,,,,,lying whole,,A,,,3,,,,,,,19,,2.5,,,,no top
912,91707,,,,,lying whole,,A,,,3,,,,,,,25.8,,17.6,,,,
913,91731,,,,,standing broken,,A,,,2,,,1.5,,,,5,,,,,,no top
914,91770,,,,,standing dead,,A,,,2,,,,,,,8.2,,,,,,
914,no tag,,,,,lying whole,,A,,,3,,,,,,,22.7,,15.7,,,,
915,no tag,,,,,lying whole,,A,,,3,,,,,,,56.6,,24.7,,,,
915,no tag,,,,,lying whole,,A,,,3,,,,,,,46.2,,2.1,,,,
915,no tag,,,,,lying broken,,A,,,3,,,,,,,50.6,,,,,,
915,no tag,,,,,lying broken,,A,,,3,,,,,,,50.6,,5.9,,,,
917,92545,,,,,standing broken,,A,,,2,,,6,,18.3,,26.8,,,,,,
917,92545,,,,,standing broken,,B,,,2,,,,,,,18.3,,7.7,,,,
918,no tag,,,,,lying whole,,A,,,3,,,,,,,65,,10,,,,
918,no tag,,,,,lying whole,,A,,,3,,,,,,,37,,9,,,,
919,92767,,,,,standing dead,,A,,,2,,,,,,,12,,,,,,
921,92378,,,,,lying whole,,A,,,2,,,,,,,5,,5.5,,,,
923,no tag,,,,,lying whole,,A,,,2,,,,,,,4.5,,3.9,,,,
924,no tag,,,,,lying whole,,A,,,2,,,,,,,6.4,,4.1,,,,
924,no tag,,,,,stump,,A,,,2,,,,,,,,,,,,,
924,no tag,,,,,lying whole,,A,,,3,,,,,,,32.3,,4.4,,,,
925,91812,,,,,lying whole,,A,,,2,,,,,,,11.6,,7.6,,,,
925,no tag,,,,,lying whole,,A,,,3,,,,,,,16.4,,14.1,,,,
936,no tag,,,,,lying whole,,A,,,2,,,,,,,15.6,,5.6,,,,
939,90994,,,,,standing dead,,A,,,2,,,,,,,51.9,,,,,,live buds
942,no tag,,,,,lying whole,,A,,,3,,,,,,,23.4,,10.4,,,,
944,91409,,,,,lying broken,,B,,,2,,,,,,,21.3,,2.1,,,,
944,91409,,,,,lying broken,,C,,,2,,,,,,,19.2,,1.7,,,,
945,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
945,92132,,,,,lying whole,,A,,,3,,,,,,,42.8,,11.9,,,,
946,no tag,,,,,lying whole,,A,,,3,,,,,,,42.7,,7.4,,,,
946,no tag,,,,,lying whole,,A,,,3,,,,,,,40.4,,9.1,,,,
946,no tag,,,,,lying whole,,A,,,2,,,,,,,70.2,,19.3,,,,
946,no tag,,,,,lying whole,,A,,,2,,,,,,,10.3,,12.1,,,,
946,no tag,,,,,lying whole,,A,,,3,,,,,,,57.2,,14.7,,,,
952,91874,,,,,lying whole,,A,,,2,,,,,,,10,,3.5,,,,
952,90880,,,,,lying whole,,A,,,3,,,,,,,16.8,,4.9,,,,
953,91409,,,,,lying broken,,A,,,2,,,,,,,23.1,,5.8,,,,
958,no tag,,,,,lying whole,,A,,,1,,,,,,,15,,6.1,,,,
962,no tag,,,,,lying whole,,A,,,3,,,,,,,19.6,,8.9,,,,
962,90930,,,,,standing broken,,A,,,2,,,7,,18.4,,24.2,,,,,,
