QUADNAME,TAG,STEMTAG,SPCODE,PX,PY,PIECE,BREAKDOWNSTATUS,INTEG,DECAYCLASS,DECAYCLASSORIG,GC,HEIGHT,TOPDIAM,DBH,DBH.2017,NOTES.2017,LG.PX,LG.PY,SM.PX,SM.PY,LENGTH,LG.END.DIAM,SM.END.DIAM,CON.2014,CODES.2014,NOTES.2014,CORRXTREE,CORRYTREE,UTMX_TREES,UTMY_TREES
5106,53520,53520,CACA18,8.3,1.5,A,Log,F,4,2,G,NA,NA,14,NA,NA,NA,NA,NA,NA,2.5,14,10.9,DS,P,SW,198.3,51.5,438219.493,135645.997
915,53711,53711,FRPE,2.8,9.6,C,Log,F,1,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,28.5,25.3,NA,NA,NA,192.8,49.6,438213.993,135644.097
5105,53711,53711,FRPE,2.8,9.6,B,Log,F,1,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,36,32.8,NA,NA,NA,192.8,49.6,438213.993,135644.097
5105,53711,53711,FRPE,2.8,9.6,A,Snag,F,2,1,NA,8,36,44.1,43.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,192.8,49.6,438213.993,135644.097
5105,53712,53712,FRPE,3.8,8.8,A,Snag,C,1,1,NA,9.2,NA,30.7,31.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,193.8,48.8,438214.993,135643.297
597,53808,53808,FRAM2,8,1.4,A,Snag,F,2,1,NA,6,NA,18,17.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,L,SW,188,61.4,438209.193,135655.897
597,53830,53830,LIST2,9.6,8.5,A,Log,NA,4,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,25.1,24.9,NA,NA,NA,NA,NA,NA,NA
597,53830,53831,LIST2,9.6,8.7,A,Log,F,4,2,NA,NA,24.9,23.9,25.1,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,189.6,68.7,438210.793,135663.197
567,53952,53952,ULRU,8,8.2,A,Log,F,3,2,G,NA,NA,11.5,NA,NA,NA,NA,NA,NA,4,11.7,8.4,DS,NA,NA,158,68.2,438179.193,135662.697
614,60054,60054,LITU,2.3,6.7,A,Log,F,5,3,G,NA,NA,19.5,NA,NA,2,6.5,2.2,4.5,2,24.4,18.5,DS,MT; X,NA,102.3,136.7,438123.493,135731.197
622,60111,60111,FAGR,5.4,4.6,A,Snag,F,3,2,NA,4.5,NA,10.4,10.1,NA,NA,NA,NA,NA,NA,NA,NA,LI,IR; X,NA,115.4,114.6,438136.593,135709.097
622,60114,60114,LIST2,6.3,8.7,A,Snag,F,4,2,NA,3,NA,28.5,27.7,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,116.3,118.7,438137.493,135713.197
623,60116,60116,LIST2,2.1,1.5,A,Snag,C,1,1,NA,10,NA,24.6,24.4,difficult to see top,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,112.1,121.5,438133.293,135715.997
628,60199,60199,LITU,3.5,3.5,A,Snag,F,3,2,NA,8,NA,26.1,25.8,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,113.5,173.5,438134.693,135767.997
617,60223,60223,LIST2,2.9,6.2,A,Snag,C,1,1,NA,6,NA,13.2,13,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,bark irregular,102.9,166.2,438124.093,135760.697
6110,60282,60282,CATO6,7.8,4.6,A,Log,F,3,2,G,NA,NA,41.2,NA,NA,8.5,4.6,8,6,8,39.7,35.2,DS,X,NA,107.8,194.6,438128.993,135789.097
6110,60291,60291,LIST2,8.4,9.2,A,Snag,F,4,2,NA,1.3,NA,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,108.4,199.2,438129.593,135793.697
645,60393,60393,LITU,2.9,6,A,Log,F,3,2,G,NA,NA,15.6,NA,NA,2.9,6,3,6.5,9,15.8,11.7,DS,X,NA,132.9,146,438154.093,135740.497
633,60427,60427,QUFA,1,1.8,A,Snag,C,1,1,NA,23,NA,104.8,103.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,121,121.8,438142.193,135716.297
636,60470,60470,LITU,0.1,7.1,A,Log,F,2,1,G,NA,NA,17.3,NA,NA,0.3,7,9.5,1,9.5,16.1,11.1,LI,L; X,East; woody debris,120.1,157.1,438141.293,135751.597
639,60527,60527,CACA18,6.6,2.1,B,Log,F,3,2,G,NA,NA,11.5,NA,NA,7,2.5,5,1,2,10,7.9,LI,NA,top dead,126.6,182.1,438147.793,135776.597
639,60527,60527,CACA18,6.6,2.1,A,Snag,F,3,2,NA,4,10,11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,top dead,126.6,182.1,438147.793,135776.597
646,60608,60608,FRAM2,1.4,9.5,B,Log,C,2,1,G,NA,NA,22.8,NA,NA,5,9.5,1,0.5,6,17.8,13.2,LI,NA,NA,131.4,159.5,438152.593,135753.997
646,60608,60608,FRAM2,1.4,9.5,A,Snag,F,2,1,NA,8,17.8,22.8,22.7,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,131.4,159.5,438152.593,135753.997
647,60617,60617,COFL2,8.4,9,A,Log,F,4,2,G,NA,NA,13,NA,NA,9.7,9.2,1,6,4,13.8,8.6,DC,NA,NA,138.4,169,438159.593,135763.497
648,60622,60622,COFL2,0.8,3.1,A,Snag,C,3,2,NA,2,NA,11.8,11.6,NA,NA,NA,NA,NA,NA,NA,NA,DS,L,SW,130.8,173.1,438151.993,135767.597
649,60636,60636,COFL2,1.2,6,A,Log,C,3,2,G,NA,NA,15.5,NA,NA,1.2,6,2,3,9,15.7,5.7,DC,NA,NA,131.2,186,438152.393,135780.497
661,60683,60683,QUAL,1.9,2.8,A,Log,C,4,2,G,NA,NA,17.4,NA,NA,1.9,2.8,1,5,15,16.4,5,DS,MT; X,NA,151.9,112.8,438173.093,135707.297
655,60747,60747,QUFA,5.4,4.9,A,Snag,C,2,1,NA,19,NA,36.3,36,NA,NA,NA,NA,NA,NA,NA,NA,DS,MT,original DBH entered incorrectly,145.4,144.9,438166.593,135739.397
655,60750,60750,QUFA,6.5,8.5,A,Snag,C,2,1,NA,16.8,NA,50.5,50.1,NA,NA,NA,NA,NA,NA,NA,NA,LI,MT; X,NA,146.5,148.5,438167.693,135742.997
665,60813,60813,COFL2,5.1,2.1,A,Log,C,3,2,G,NA,NA,10.5,NA,NA,5.1,2.1,7,3.5,7,10.1,7,DS,NA,NA,155.1,142.1,438176.293,135736.597
668,60856,60856,COFL2,9.1,3.4,A,Log,C,3,2,G,NA,NA,12.5,NA,NA,9.1,3.4,2.5,4,6,11.9,5,DS,MT; X,NA,159.1,173.4,438180.293,135767.897
681,61008,61008,QUERC,3.6,4.3,A,Snag,F,3,2,NA,8,NA,77,76.2,NA,NA,NA,NA,NA,NA,NA,NA,DS,MT,NA,173.6,104.3,438194.793,135698.797
6710,61139,61139,QUFA,9.4,5,A,Log,C,3,2,G,NA,NA,38.3,NA,NA,9.4,5,NA,NA,17,32.5,18,DS,SP,NA,169.4,195,438190.593,135789.497
6102,61276,61276,JUVI,4.7,8.1,A,Snag,F,4,2,NA,4.9,NA,20,20.3,NA,NA,NA,NA,NA,NA,NA,NA,DS,IR; X,NA,194.7,118.1,438215.893,135712.597
6105,61427,61427,QUAL,4.8,3.9,A,Snag,F,2,1,NA,17.8,NA,49.7,50,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,194.8,143.9,438215.993,135738.397
6106,61440,61440,QUFA,3.4,2.9,B,Log,F,4,2,G,NA,NA,51.4,NA,NA,3,2.9,4.5,9.5,10,29,19.8,DS,X,NA,193.4,152.9,438214.593,135747.397
6106,61440,61440,QUFA,3.4,2.9,A,Snag,F,3,2,NA,15,29,51.4,51.3,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,193.4,152.9,438214.593,135747.397
1014,61442,61442,QURU,9.1,5.2,B,Log,F,4,2,G,NA,NA,NA,NA,NA,2,7,8,8,12,26.8,9.8,DS,L; MT,SE,199.1,155.2,438220.293,135749.697
6106,61442,61442,QURU,9.1,5.2,A,Log,F,4,2,G,NA,NA,NA,NA,NA,9.1,5.2,3.5,8,16,41.4,26.8,DS,L; MT,SE,199.1,155.2,438220.293,135749.697
711,70002,70002,CATO6,8.4,0.5,A,Log,F,4,2,G,NA,NA,NA,NA,NA,8.5,0,5,2,7.5,28.7,24.9,DS,IR; X,bark irregular,108.4,200.5,438129.593,135794.997
711,70002,70002,CATO6,8.4,0.5,B,Log,F,4,2,G,NA,NA,NA,NA,NA,7.5,9,1.5,0.8,11,22.1,20.3,DS,IR; X,bark irregular,108.4,200.5,438129.593,135794.997
716,70413,70413,LIST2,7.1,7.4,B,Log,F,3,2,G,NA,NA,28.8,NA,NA,9.7,3,7.5,5,3,18.5,14,LI,X,NA,107.1,257.4,438128.293,135851.897
716,70413,70413,LIST2,7.1,7.4,A,Snag,F,3,2,NA,8,18.5,28.8,28.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,X,NA,107.1,257.4,438128.293,135851.897
739,70561,70561,COFL2,3.5,6,A,Snag,C,2,1,NA,5.5,NA,10.8,10.5,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,123.5,286,438144.693,135880.497
746,70676,70676,CATO6,8.4,1.9,A,Log,NA,2,1,NA,NA,NA,16,NA,"NF, NEON construction",NA,NA,NA,NA,NA,NA,NA,LI,P,removed by NEON,138.4,251.9,438159.593,135846.397
753,70730,70730,NYSY,5.5,5.4,A,Log,F,3,2,G,NA,NA,10.5,NA,NA,4,6,3,2,7,10,5.7,DS,P,woody debris,145.5,225.4,438166.693,135819.897
774,71053,71053,CACA18,1.2,3.6,A,Snag,F,3,2,NA,3,10,12.5,12.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,161.2,233.6,438182.393,135828.097
775,71066,71066,CACA18,3.8,2,A,Log,F,4,2,G,NA,NA,10.4,NA,NA,3.8,2,8.5,0,5,10.1,7.1,LI,L,SE,163.8,242,438184.993,135836.497
783,71138,71138,QUERC,1.5,5.8,B,Log,NA,4,2,G,NA,NA,53.9,NA,NA,0.8,4,NA,NA,10,33.8,32.4,DS,IR; X,bark irregular,171.5,225.8,438192.693,135820.297
783,71138,71138,QUERC,1.5,5.8,A,Snag,F,3,2,NA,5,33.8,53.9,54.1,NA,NA,NA,NA,NA,NA,NA,NA,DS,IR; X,bark irregular,171.5,225.8,438192.693,135820.297
789,71313,71313,QUAL,6.1,7.5,A,Log,F,4,2,G,NA,NA,44.6,NA,NA,6.1,7.5,5,4,8.5,45.2,29,DS,X,NA,176.1,287.5,438197.293,135881.997
7109,71345,71345,CATO6,6.6,0.9,A,Log,F,3,2,G,NA,NA,33.6,NA,NA,6.6,0.9,7.5,2,9,28.6,20.6,DS,X,NA,196.6,280.9,438217.793,135875.397
7710,71534,71534,QUAL,3.1,5.7,A,Log,F,3,2,G,NA,NA,55,NA,NA,3.1,5.7,8.8,3,11,48.7,41.7,DS,X,NA,163.1,295.7,438184.293,135890.197
7104,71652,71652,COFL2,5.4,5.4,A,Snag,C,1,1,NA,NA,NA,12.2,12.1,NA,NA,NA,NA,NA,NA,NA,NA,LI,A; L,SE,195.4,235.4,438216.593,135829.897
7104,71655,71655,CACA18,3,8.1,B,Log,F,3,2,G,NA,NA,13.7,NA,NA,3.3,7.8,8.9,3.5,6,13.8,8.2,LI,L,SE,193,238.1,438214.193,135832.597
7104,71655,71655,CACA18,3,8.1,A,Snag,F,3,2,NA,0.9,14.8,13.7,14.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,L,SE,193,238.1,438214.193,135832.597
821,80110,80110,CACA18,7,8.4,A,Snag,C,1,1,NA,NA,NA,10.2,10.2,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,117,308.4,438138.193,135902.897
819,80339,80339,LIST2,0.9,9,B,Log,F,4,2,G,NA,NA,NA,NA,NA,5.9,8.6,7.7,8.3,NA,51.1,48.6,NA,NA,NA,100.9,389,438122.093,135983.497
819,80339,80339,LIST2,0.9,9,C,Log,F,3,2,G,NA,NA,NA,NA,NA,3.8,9,5,4.9,NA,51.8,32.2,NA,NA,NA,100.9,389,438122.093,135983.497
819,80339,80339,LIST2,0.9,9,A,Snag,F,3,2,NA,5.5,51.8,59.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,I; X,NA,100.9,389,438122.093,135983.497
8110,80350,80350,CACA18,2.1,5.6,A,Snag,C,2,1,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,LI,X,NA,102.1,395.6,438123.293,135990.097
841,80360,80360,CATO6,7.8,2.5,A,Snag,C,1,1,NA,NA,NA,15.8,15.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,137.8,302.5,438158.993,135896.997
842,80378,80378,COFL2,1.6,4.8,A,Snag,C,2,1,NA,NA,NA,14.6,14.2,NA,NA,NA,NA,NA,NA,NA,NA,LI,I; IR,NA,131.6,314.8,438152.793,135909.297
843,80378,80378,COFL2,1.6,4.8,B,Log,C,3,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,10.7,NA,NA,NA,131.6,314.8,438152.793,135909.297
843,80394,80394,QURU,0.4,2.2,A,Snag,C,2,1,NA,NA,NA,89.6,88.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,130.4,322.2,438151.593,135916.697
837,80436,80436,FAGR,5.2,2.3,B,Log,F,3,2,G,NA,NA,110.5,NA,NA,NA,NA,NA,NA,NA,75.1,58.8,LI,X,NA,125.2,362.3,438146.393,135956.797
837,80436,80436,FAGR,5.2,2.3,A,Snag,F,3,2,NA,10,75.1,110.5,110.6,NA,NA,NA,NA,NA,NA,NA,NA,LI,X,NA,125.2,362.3,438146.393,135956.797
828,80528,80528,LIST2,2.5,4.7,A,Log,C,2,1,G,NA,NA,NA,NA,NA,2,4.9,1.8,5.2,NA,25.3,19.6,NA,NA,NA,NA,NA,NA,NA
855,80671,80671,LIST2,4.9,2.7,A,Snag,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,bark irregular,144.9,342.7,438166.093,135937.197
862,80711,80711,CACA18,7.7,5.5,A,Log,F,4,2,G,NA,NA,12.3,NA,DC,NA,NA,NA,NA,NA,14.1,13.2,DS,X,NA,157.7,315.5,438178.893,135909.997
848,80891,80891,QUVE,1.6,5.8,B,Log,F,4,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.2,52.2,NA,NA,NA,131.6,375.8,438152.793,135970.297
848,80891,80891,QUVE,1.6,5.8,C,Log,F,4,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,41.1,NA,NA,NA,131.6,375.8,438152.793,135970.297
848,80891,80891,QUVE,1.6,5.8,A,Snag,F,4,2,NA,30,72.2,109.3,110.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,I; X,NA,131.6,375.8,438152.793,135970.297
881,81021,81021,COFL2,7.3,0.8,A,Log,F,4,2,G,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,9.1,6.6,DS,IR,bark irregular,177.3,300.8,438198.493,135895.297
884,81053,81053,LITU,6.9,9.7,A,Snag,C,3,2,NA,30,NA,23.5,20.4,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,176.9,339.7,438198.093,135934.197
896,81292,81292,LIST2,5,1.8,A,Snag,C,2,1,NA,25,NA,32.2,32.3,fungi,NA,NA,NA,NA,NA,NA,NA,LI,IR,bark irregular,185,351.8,438206.193,135946.297
898,81312,81312,QUVE,1.2,2.1,A,Log,C,2,1,A,NA,NA,52.4,NA,NA,NA,NA,NA,NA,NA,52.4,15.5,DS,L,East; partially uprooted,181.2,372.1,438202.393,135966.597
9101,90001,90001,LIST2,6.8,0.5,B,Log,NA,2,1,A,NA,NA,15.5,NA,NA,NA,NA,NA,NA,4,14.4,9.4,DS,NA,NA,296.8,0.5,438317.993,135594.997
9101,90001,90001,LIST2,6.8,0.5,A,Snag,F,2,1,NA,4.5,14.4,15.5,14.6,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,296.8,0.5,438317.993,135594.997
9101,90003,90003,LIST2,0,2.2,A,Snag,C,2,1,NA,17.8,NA,19.2,18.1,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,290,2.2,438311.193,135596.697
9102,90019,90019,LIST2,4.1,0,B,Log,NA,2,1,G,NA,NA,11.1,NA,NA,NA,NA,NA,NA,6,10.7,7,LI,NA,NA,294.1,10,438315.293,135604.497
9102,90019,90019,LIST2,4.1,0,A,Snag,F,3,2,NA,0.8,11.4,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,294.1,10,438315.293,135604.497
9105,90099,90099,LIST2,6.8,3.6,A,Snag,F,3,2,NA,6,NA,14.2,13.3,NA,NA,NA,NA,NA,NA,NA,NA,DS,SP; X,NA,296.8,43.6,438317.993,135638.097
991,90105,90105,LIST2,4.6,4.9,A,Log,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,18.3,16.6,NA,NA,NA,NA,NA,NA,NA
991,90108,90108,ACRU,6.8,6,A,Log,F,3,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,17.2,12,DS,X,NA,286.8,6,438307.993,135600.497
993,90140,90140,PRSE2,4.9,6.5,A,Snag,F,4,2,NA,6.2,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,L,East; on 90137,284.9,26.5,438306.093,135620.997
981,90203,90203,LIST2,6,9.2,A,Snag,C,3,2,NA,15.4,NA,19,18.7,switch Ct,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,276,9.2,438297.193,135603.697
982,90220,90220,ULAM,7.6,9.7,A,Log,F,4,2,G,NA,NA,20.1,NA,NA,NA,NA,NA,NA,14,19,9.6,DS,NA,NA,277.6,19.7,438298.793,135614.197
983,90230,90230,LIST2,9.6,2,A,Log,F,4,2,G,NA,NA,12.9,NA,NA,NA,NA,NA,NA,4,13.3,10.2,DS,L; X,North,279.6,22,438300.793,135616.497
983,90233,90233,ULAM,5.1,7.7,A,Log,F,3,2,G,NA,NA,12.1,NA,NA,NA,NA,NA,NA,8,11.1,6.9,LI,L,East,275.1,27.7,438296.293,135622.197
989,90293,90293,FRPE,1.2,0.6,A,Snag,C,1,1,NA,11.2,NA,18.6,18.9,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,271.2,80.6,438292.393,135675.097
987,90477,90477,FRPE,1,9.8,A,Snag,C,1,1,NA,23,NA,51.6,51.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,271,69.8,438292.193,135664.297
978,90496,90496,FRPE,9.6,2.6,A,Snag,NA,1,1,NA,18,NA,38.3,38.1,NA,NA,NA,NA,NA,NA,NA,NA,LI,H,NA,269.6,72.6,438290.793,135667.097
989,90835,90835,FRPE,5.3,2.3,A,Snag,C,1,1,NA,10,NA,20.5,20.1,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,275.3,82.3,438296.493,135676.797
989,90839,90839,FRPE,1.7,6,A,Snag,C,1,1,NA,23.4,NA,71.8,72.9,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,271.7,86,438292.893,135680.497
989,90842,90842,FRPE,1.4,3.1,A,Snag,C,1,1,NA,19,NA,44.4,44.2,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,271.4,83.1,438292.593,135677.597
951,90847,90847,LIST2,1.9,9.7,A,Snag,F,2,1,NA,13,NA,24.8,23.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,IR,checked,241.9,9.7,438263.093,135604.197
951,90851,90851,LIST2,6.3,9,A,Snag,F,2,1,NA,12,NA,12.6,12.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,246.3,9,438267.493,135603.497
9810,90863,90863,FRPE,0.3,2.7,A,Snag,C,1,1,NA,11,NA,13.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,270.3,92.7,438291.493,135687.197
962,90920,90920,LIST2,4,3.8,A,Snag,F,3,2,NA,6,NA,15.4,15.2,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,254,13.8,438275.193,135608.297
962,90930,90930,LIST2,0.3,9.9,A,Log,F,4,2,G,NA,NA,22.9,NA,NA,NA,NA,NA,NA,7,20.9,18.2,DS,MT; X,NA,250.3,19.9,438271.493,135614.397
939,90994,90994,FRPE,7.7,3.3,A,Snag,F,3,2,NA,7.5,NA,52.1,50.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,I; X,NA,227.7,83.3,438248.893,135677.797
978,91004,91004,FRPE,3.8,2.9,A,Snag,C,1,1,NA,18.2,NA,54.2,56.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,263.8,72.9,438284.993,135667.397
978,91015,91015,FRPE,3,8.5,A,Snag,C,2,1,NA,16,NA,51,49.2,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,263,78.5,438284.193,135672.997
979,91023,91023,ULRU,3.4,3.3,A,Log,C,4,2,G,NA,NA,10.9,NA,NA,NA,NA,NA,NA,4,9.5,8,DS,NA,NA,263.4,83.3,438284.593,135677.797
979,91024,91024,FRPE,4.3,3.3,A,Snag,C,1,1,NA,18.2,NA,28.3,29.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,264.3,83.3,438285.493,135677.797
979,91026,91026,FRPE,9,4.3,A,Snag,F,3,2,NA,11,NA,29.6,30,NA,NA,NA,NA,NA,NA,NA,NA,DS,L; X,West,269,84.3,438290.193,135678.797
979,91053,91053,FRPE,9.8,10,A,Snag,C,1,1,NA,14,NA,17.8,18.7,NA,NA,NA,NA,NA,NA,NA,NA,LI,A,NA,269.8,90,438290.993,135684.497
9710,91058,91058,FRPE,4.1,2.6,A,Snag,C,2,1,NA,13.4,NA,51.2,49.6,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,PAQU2 on it,264.1,92.6,438285.293,135687.097
934,91385,91385,ULRU,7.3,6.8,A,Snag,C,2,1,NA,5,NA,10.5,10.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,SP; X,NA,227.3,36.8,438248.493,135631.297
968,91458,91458,FRPE,2.7,8.7,A,Snag,C,1,1,NA,22,NA,66.4,66.2,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,252.7,78.7,438273.893,135673.197
969,91463,91463,FRPE,1.6,3,A,Snag,C,1,1,NA,21.4,NA,75.9,76,NA,NA,NA,NA,NA,NA,NA,NA,LI,SP,NA,251.6,83,438272.793,135677.497
935,91590,91590,CATO6,4.7,4.1,A,Snag,C,2,1,NA,13,NA,21.8,20.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,224.7,44.1,438245.893,135638.597
9310,91633,91633,ULRU,3.5,7.5,A,Log,F,3,2,G,NA,NA,24.5,NA,NA,NA,NA,NA,NA,15,21.1,11.1,LI,SP,NA,223.5,97.5,438244.693,135691.997
914,91778,91778,CACA18,1.3,8.5,A,Log,F,3,2,G,NA,NA,18,NA,NA,NA,NA,NA,NA,3.5,15.7,12.3,DS,L; RS,North,201.3,38.5,438222.493,135632.997
926,91830,91830,ACRU,7.5,2,NA,Consumed,NA,5,3,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,217.5,52,438238.693,135646.497
926,91854,91854,FRPE,4.7,8.1,A,Snag,C,1,1,NA,19.6,NA,78.5,78.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,214.7,58.1,438235.893,135652.597
9510,92003,92003,FRPE,7.6,6.2,A,Snag,C,1,1,NA,20,NA,39.8,40.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,247.6,96.2,438268.793,135690.697
9510,92006,92006,ULRU,4.1,6.2,A,Snag,C,3,2,NA,12,NA,22.8,22.1,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,244.1,96.2,438265.293,135690.697
931,92035,92035,ACRU,0.8,6.3,NA,NF,NA,NA,NA,NA,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,220.8,6.3,438241.993,135600.797
9410,92212,92212,FRPE,3.5,0.8,A,Snag,F,3,2,NA,2,16,17.6,16.6,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,233.5,90.8,438254.693,135685.297
9410,92214,92214,FRPE,2.6,1.5,A,Snag,C,1,1,NA,21.4,NA,67.5,NA,TORAR,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,232.6,91.5,438253.793,135685.997
912,92297,92297,LITU,2.6,1.7,B,Log,F,2,1,G,NA,NA,33,NA,NA,NA,NA,NA,NA,15,24.8,17.9,LI,NA,NA,202.6,11.7,438223.793,135606.197
912,92297,92297,LITU,2.6,1.7,A,Snag,F,2,1,NA,5,24.8,33,32.9,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,202.6,11.7,438223.793,135606.197
938,92440,92440,FRPE,7.2,4,A,Log,F,2,1,A;G,NA,NA,35.5,NA,NA,NA,NA,NA,NA,16,33.4,16.3,LI,P,SW,227.2,74,438248.393,135668.497
9510,92468,92468,FRPE,0.3,2.9,A,Snag,C,1,1,NA,22.2,NA,69.8,67.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,IR,NA,240.3,92.9,438261.493,135687.397
917,92545,92545,ULRU,6.8,2,A,Log,F,3,2,G,NA,NA,25.7,NA,NA,NA,NA,NA,NA,5,21.1,18,DS,X,NA,206.8,62,438227.993,135656.497
928,92615,92615,FRPE,4.7,2.3,A,Snag,F,2,1,NA,3,NA,16.7,16.5,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,214.7,72.3,438235.893,135666.797
928,92662,92662,FRPE,8.6,9.6,A,Snag,F,3,2,NA,8,NA,52.1,50.4,NA,NA,NA,NA,NA,NA,NA,NA,DS,IR; X,NA,218.6,79.6,438239.793,135674.097
919,92767,92767,ULRU,6.8,6.9,NA,Consumed,NA,5,3,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,SP,changed from FRPE,206.8,86.9,438227.993,135681.397
1021,100104,100104,FRAM2,7.2,1.6,A,Snag,C,1,1,NA,19,NA,51.2,50.7,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,217.2,101.6,438238.393,135696.097
